Term,Parent
反抗,Authority_viceP7
推翻,Authority_viceP7
异议,Authority_viceP7
異見,Authority_viceP7
唔同嘅意見,Authority_viceP7
异端,Authority_viceP7
非主流,Authority_viceP7
非正統,Authority_viceP7
奇怪,Authority_viceP7
犯上,Authority_viceP7
不恭,Authority_viceP7
得罪上級,Authority_viceP7
忤逆,Authority_viceP7
違抗,Authority_viceP7
不服從,Authority_viceP7
不順從,Authority_viceP7
抗命 ,Authority_viceP7
作反,Authority_viceP7
唔聽話,Authority_viceP7
不从,Authority_viceP7
不從,Authority_viceP7
不遵從,Authority_viceP7
抗命,Authority_viceP7
唔根據指令,Authority_viceP7
无礼,Authority_viceP7
無禮,Authority_viceP7
不尊重,Authority_viceP7
不得體,Authority_viceP7
粗魯,Authority_viceP7
违抗,Authority_viceP7
抗拒,Authority_viceP7
不服從並且對抗 ,Authority_viceP7
违反,Authority_viceP7
違例,Authority_viceP7
違例並且反對規例,Authority_viceP7
违法,Authority_viceP7
違反法例,Authority_viceP7
觸法,Authority_viceP7
違反法律,Authority_viceP7
违规,Authority_viceP7
違反規定,Authority_viceP7
違反條例,Authority_viceP7
違反規章,Authority_viceP7
違反規範,Authority_viceP7
犯規,Authority_viceP7
违纪,Authority_viceP7
違紀,Authority_viceP7
違反紀律,Authority_viceP7
犯紀,Authority_viceP7
違反規程,Authority_viceP7
觸犯規章,Authority_viceP7
違反紀律 ,Authority_viceP7
违章,Authority_viceP7
違章,Authority_viceP7
違反規則,Authority_viceP7
違反交通規則,Authority_viceP7
違反規章制度,Authority_viceP7
挑撥離間,Authority_viceP7
煽動,Authority_viceP7
故意刺激,Authority_viceP7
激怒,Authority_viceP7
撩交嗌,Authority_viceP7
撩事鬥非,Authority_viceP7
示範,Authority_viceP7
展示威脅,Authority_viceP7
煽动,Authority_viceP7
鼓動,Authority_viceP7
煽惑,Authority_viceP7
慫恿,Authority_viceP7
唆擺,Authority_viceP7
骚乱,Authority_viceP7
社會動盪,Authority_viceP7
社會衝突中牽涉暴力衝突的情況,Authority_viceP7
骚动,Authority_viceP7
喧鬧,Authority_viceP7
動盪,Authority_viceP7
社會衝突中的混亂情況,Authority_viceP7
揭发,Authority_viceP7
揭發,Authority_viceP7
披露,Authority_viceP7
曝光,Authority_viceP7
揭穿,Authority_viceP7
告发,Authority_viceP7
告發,Authority_viceP7
舉報,Authority_viceP7
篤背脊,Authority_viceP7
举报,Authority_viceP7
報案,Authority_viceP7
報警,Authority_viceP7
檢舉,Authority_viceP7
颠覆,Authority_viceP7
顛倒,Authority_viceP7
顛倒黑白,Authority_viceP7
全面破壞和改變,Authority_viceP7
傾覆,Authority_viceP7
徹底打破,Authority_viceP7
背叛叛逆,Authority_viceP7
叛乱,Authority_viceP7
目无法纪,Authority_viceP7
目無法紀,Authority_viceP7
肆無忌憚,Authority_viceP7
不知廉恥,Authority_viceP7
無法無天,Authority_viceP7
胡作非為,Authority_viceP7
藐视,Authority_viceP7
不屑一顧,Authority_viceP7
看不起,Authority_viceP7
輕蔑,Authority_viceP7
宣洩不滿,Authority_viceP7
离经叛道,Authority_viceP7
離經叛道,Authority_viceP7
背道而馳,Authority_viceP7
背離正道,Authority_viceP7
破例,Authority_viceP7
違抗規範,Authority_viceP7
离间,Authority_viceP7
離間,Authority_viceP7
搞分化,Authority_viceP7
破壞關係,Authority_viceP7
格格不入,Authority_viceP7
不融洽,Authority_viceP7
不協調,Authority_viceP7
唔夾,Authority_viceP7
抗议,Authority_viceP7
拒绝,Authority_viceP7
桀骜不驯,Authority_viceP7
桀驁不馴,Authority_viceP7
難馴服,Authority_viceP7
難控制,Authority_viceP7
難馴化,Authority_viceP7
硬頸 ,Authority_viceP7
抗法,Authority_viceP7
反抗法律,Authority_viceP7
拒絕遵守法律,Authority_viceP7
阻住,Authority_viceP7
叛逆 ,Authority_viceP7
唔服從,Authority_viceP7
違逆,Authority_viceP7
抵抗,Authority_viceP7
反对,Authority_viceP7
唔贊同,Authority_viceP7
吾贊同,Authority_viceP7
斥责,Authority_viceP7
斥責,Authority_viceP7
譴責 ,Authority_viceP7
指謫,Authority_viceP7
不同政见,Authority_viceP7
唔同政見,Authority_viceP7
政治立場唔同,Authority_viceP7
政治觀點唔同,Authority_viceP7
政見相左,Authority_viceP7
政見分歧,Authority_viceP7
政治信念唔同,Authority_viceP7
政治取向唔同,Authority_viceP7
政治立場差異,Authority_viceP7
政治意識唔同,Authority_viceP7
政見相異,Authority_viceP7
不忠实,Authority_viceP7
唔忠實,Authority_viceP7
唔忠心,Authority_viceP7
不同意见,Authority_viceP7
唔同意見,Authority_viceP7
意見分歧,Authority_viceP7
睇法唔同,Authority_viceP7
觀點唔同,Authority_viceP7
意見相左,Authority_viceP7
不顺从,Authority_viceP7
唔順從,Authority_viceP7
不守规矩,Authority_viceP7
唔守規矩,Authority_viceP7
唔遵守規則,Authority_viceP7
無規無矩,Authority_viceP7
違反規矩,Authority_viceP7
吾守規矩,Authority_viceP7
吾遵守規則,Authority_viceP7
不敬,Authority_viceP7
唔尊重,Authority_viceP7
唔恭敬,Authority_viceP7
唔尊敬,Authority_viceP7
怠慢,Authority_viceP7
暴乱,Authority_viceP7
暴力衝突,Authority_viceP7
暴动,Authority_viceP7
暴力抗爭,Authority_viceP7
發牢騷 ,Authority_viceP7
怨聲載道,Authority_viceP7
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
