Term,Parent
遵照,Authority_virtueP7
遵從,Authority_virtueP7
遵守,Authority_virtueP7
遵行,Authority_virtueP7
服從,Authority_virtueP7
跟,Authority_virtueP7
遵紀守法,Authority_virtueP7
謹守,Authority_virtueP7
遵从,Authority_virtueP7
敬仰,Authority_virtueP7
尊崇,Authority_virtueP7
崇敬,Authority_virtueP7
崇拜,Authority_virtueP7
敬愛,Authority_virtueP7
恭敬,Authority_virtueP7
祖先,Authority_virtueP7
前輩,Authority_virtueP7
祖宗,Authority_virtueP7
先人,Authority_virtueP7
老祖,Authority_virtueP7
先輩,Authority_virtueP7
种姓,Authority_virtueP7
種姓,Authority_virtueP7
本姓,Authority_virtueP7
血統,Authority_virtueP7
宗族,Authority_virtueP7
世系,Authority_virtueP7
階級,Authority_virtueP7
姓氏等級,Authority_virtueP7
衷心,Authority_virtueP7
真心,Authority_virtueP7
心懷感激,Authority_virtueP7
誠摯,Authority_virtueP7
誠心,Authority_virtueP7
衷誠,Authority_virtueP7
由心而發,Authority_virtueP7
由衷,Authority_virtueP7
毫無保留,Authority_virtueP7
忠顺,Authority_virtueP7
忠順,Authority_virtueP7
順從如命,Authority_virtueP7
聽話,Authority_virtueP7
资产,Authority_virtueP7
資本財產,Authority_virtueP7
秩序,Authority_virtueP7
紀律,Authority_virtueP7
規律,Authority_virtueP7
規矩,Authority_virtueP7
指令,Authority_virtueP7
指示,Authority_virtueP7
規定,Authority_virtueP7
指定,Authority_virtueP7
指挥,Authority_virtueP7
指揮,Authority_virtueP7
指導,Authority_virtueP7
領導,Authority_virtueP7
主持,Authority_virtueP7
职责,Authority_virtueP7
職責,Authority_virtueP7
任務,Authority_virtueP7
工作範圍,Authority_virtueP7
職務,Authority_virtueP7
工作嘅責任,Authority_virtueP7
工作嘅義務,Authority_virtueP7
职称,Authority_virtueP7
職稱,Authority_virtueP7
職位,Authority_virtueP7
頭銜,Authority_virtueP7
職級,Authority_virtueP7
職業,Authority_virtueP7
稱號,Authority_virtueP7
職業身份,Authority_virtueP7
支配,Authority_virtueP7
控制,Authority_virtueP7
操控,Authority_virtueP7
掌控,Authority_virtueP7
操縱,Authority_virtueP7
主宰,Authority_virtueP7
之母,Authority_virtueP7
創始人,Authority_virtueP7
源頭,Authority_virtueP7
始祖,Authority_virtueP7
根源,Authority_virtueP7
元祖,Authority_virtueP7
先驅,Authority_virtueP7
起源,Authority_virtueP7
始創,Authority_virtueP7
之父,Authority_virtueP7
奠基人,Authority_virtueP7
先賢,Authority_virtueP7
元勳,Authority_virtueP7
始創者,Authority_virtueP7
倡導者,Authority_virtueP7
掌权,Authority_virtueP7
掌權,Authority_virtueP7
掌管,Authority_virtueP7
執政,Authority_virtueP7
手握大權,Authority_virtueP7
掌管大局,Authority_virtueP7
责任,Authority_virtueP7
義務,Authority_virtueP7
使命,Authority_virtueP7
重任,Authority_virtueP7
允许,Authority_virtueP7
义务,Authority_virtueP7
依法,Authority_virtueP7
法規,Authority_virtueP7
依規,Authority_virtueP7
根據法規,Authority_virtueP7
按照法規,Authority_virtueP7
依从,Authority_virtueP7
依從,Authority_virtueP7
敬從,Authority_virtueP7
屈從,Authority_virtueP7
许可,Authority_virtueP7
允准,Authority_virtueP7
唯命是从,Authority_virtueP7
唯命是從,Authority_virtueP7
