Term,Parent
战争,Care_viceP7
战斗,Care_viceP7
榨取,Care_viceP7
遗弃,Care_viceP7
踩死,Care_viceP7
捏死,Care_viceP7
捻死,Care_viceP7
整死,Care_viceP7
搞死,Care_viceP7
攪死,Care_viceP7
消灭,Care_viceP7
袭击,Care_viceP7
损伤,Care_viceP7
损毁,Care_viceP7
損毀,Care_viceP7
损害,Care_viceP7
死人,Care_viceP7
受伤,Care_viceP7
受难,Care_viceP7
伤口,Care_viceP7
伤害,Care_viceP7
中伤,Care_viceP7
中傷,Care_viceP7
重伤,Care_viceP7
重傷,Care_viceP7
伤人,Care_viceP7
傷人,Care_viceP7
欺负,Care_viceP7
欺負,Care_viceP7
蝦,Care_viceP7
杀死,Care_viceP7
殺死,Care_viceP7
杀手,Care_viceP7
杀戮,Care_viceP7
杀害,Care_viceP7
辱骂,Care_viceP7
辱罵,Care_viceP7
蹂躏,Care_viceP7
强暴,Care_viceP7
破坏,Care_viceP7
抨击,Care_viceP7
谋杀,Care_viceP7
灭亡,Care_viceP7
滅亡,Care_viceP7
灭绝,Care_viceP7
滅絕,Care_viceP7
谩骂,Care_viceP7
謾罵,Care_viceP7
掠夺,Care_viceP7
掠奪,Care_viceP7
滥用,Care_viceP7
苦难,Care_viceP7
绝情,Care_viceP7
践踏,Care_viceP7
踐踏,Care_viceP7
歼灭,Care_viceP7
殲滅,Care_viceP7
击溃,Care_viceP7
毁灭,Care_viceP7
毁坏,Care_viceP7
狠心,Care_viceP7
好战,Care_viceP7
好戰,Care_viceP7
好斗,Care_viceP7
好鬥,Care_viceP7
攻击,Care_viceP7
扼杀,Care_viceP7
斗殴,Care_viceP7
鬥毆,Care_viceP7
打击,Care_viceP7
打斗,Care_viceP7
创伤,Care_viceP7
創傷,Care_viceP7
残忍,Care_viceP7
残酷,Care_viceP7
残暴,Care_viceP7
唔友好,Care_viceP7
不稳定,Care_viceP7
不穩定,Care_viceP7
唔穩定,Care_viceP7
不同情,Care_viceP7
唔同情,Care_viceP7
不损害,Care_viceP7
不損害,Care_viceP7
唔損害,Care_viceP7
不关心,Care_viceP7
不關心,Care_viceP7
唔理,Care_viceP7
唔在意,Care_viceP7
冇興趣,Care_viceP7
冇乜興趣,Care_viceP7
冇乜在乎,Care_viceP7
唔關心,Care_viceP7
唔在乎,Care_viceP7
冇乜點理,Care_viceP7
唔重視,Care_viceP7
唔安全,Care_viceP7
冇保障,Care_viceP7
冇保護,Care_viceP7
唔靠得住,Care_viceP7
唔穩陣,Care_viceP7
唔可靠,Care_viceP7
冇乜保障,Care_viceP7
冇乜安全感,Care_viceP7
不爱护,Care_viceP7
不愛護,Care_viceP7
唔珍惜,Care_viceP7
冇愛心,Care_viceP7
冇呵護,Care_viceP7
冇關愛,Care_viceP7
唔愛護,Care_viceP7
唔愛惜,Care_viceP7
唔愛錫,Care_viceP7
剥削,Care_viceP7
壓榨,Care_viceP7
剥夺,Care_viceP7
剷奪,Care_viceP7
奪走,Care_viceP7
奪去,Care_viceP7
搶走,Care_viceP7
創去,Care_viceP7
摒弃,Care_viceP7
排斥,Care_viceP7
兇暴,Care_viceP7
