Term,Parent
关怀,Care_virtueP7
顧念,Care_virtueP7
撫慰,Care_virtueP7
关爱,Care_virtueP7
關顧,Care_virtueP7
护理,Care_virtueP7
護理,Care_virtueP7
照護,Care_virtueP7
照看,Care_virtueP7
照應,Care_virtueP7
慰问,Care_virtueP7
慰問,Care_virtueP7
维护,Care_virtueP7
爱心,Care_virtueP7
愛心,Care_virtueP7
同理心,Care_virtueP7
体贴,Care_virtueP7
融洽,Care_virtueP7
怜悯,Care_virtueP7
和谐,Care_virtueP7
和平,Care_virtueP7
关心,Care_virtueP7
共情,Care_virtueP7
福利,Care_virtueP7
庇护,Care_virtueP7
庇護,Care_virtueP7
保护,Care_virtueP7
爱护,Care_virtueP7
防护,Care_virtueP7
监护,Care_virtueP7
監護,Care_virtueP7
