Term,Parent
5再理自己ge性趣,Depression
5再理自己ge興趣,Depression
5再理自己o既性趣,Depression
5再理自己o既興趣,Depression
5再理自己既性趣,Depression
5再理自己既興趣,Depression
5再理自己嘅性趣,Depression
5再理自己嘅興趣,Depression
5再識得快樂,Depression
5再識得開心,Depression
5肯認自己5開心,Depression
5肯認自己o吾開心,Depression
5肯認自己sad,Depression
5肯認自己吾開心,Depression
5肯認自己唔開心,Depression
5相郁,Depression
5相認自己5開心,Depression
5相認自己o吾開心,Depression
5相認自己sad,Depression
5相認自己吾開心,Depression
5相認自己唔開心,Depression
5相講o野,Depression
5相講野,Depression
5相講嘢,Depression
5開心,Depression
5想郁,Depression
5想認自己5開心,Depression
5想認自己o吾開心,Depression
5想認自己sad,Depression
5想認自己吾開心,Depression
5想認自己唔開心,Depression
5想講o野,Depression
5想講野,Depression
5想講嘢,Depression
5認自己5開心,Depression
5認自己down,Depression
5認自己o吾開心,Depression
5認自己sad,Depression
5認自己吾開心,Depression
5認自己唔開心,Depression
5講o野,Depression
5講野,Depression
5講嘢,Depression
5識快樂,Depression
5識得快樂,Depression
5識得開心,Depression
5識開心,Depression
5願認自己5開心,Depression
5願認自己o吾開心,Depression
5願認自己sad,Depression
5願認自己吾開心,Depression
5願認自己唔開心,Depression
5覺得快樂,Depression
5覺得開心,Depression
depress,Depression
depressed,Depression
feel 5到開心,Depression
feel 5倒開心,Depression
feel o吾到開心,Depression
feel o吾倒開心,Depression
feel 唔到開心,Depression
feel 唔倒開心,Depression
feel吾到開心,Depression
feel吾倒開心,Depression
feel唔到開心,Depression
feel唔倒開心,Depression
o吾再理自己ge性趣,Depression
o吾再理自己ge興趣,Depression
o吾再理自己o既性趣,Depression
o吾再理自己o既興趣,Depression
o吾再理自己既性趣,Depression
o吾再理自己既興趣,Depression
o吾再理自己嘅性趣,Depression
o吾再理自己嘅興趣,Depression
o吾再識得快樂,Depression
o吾再識得開心,Depression
o吾肯認自己5開心,Depression
o吾肯認自己o吾開心,Depression
o吾肯認自己sad,Depression
o吾肯認自己吾開心,Depression
o吾肯認自己唔開心,Depression
o吾相郁,Depression
o吾相認自己5開心,Depression
o吾相認自己o吾開心,Depression
o吾相認自己sad,Depression
o吾相認自己吾開心,Depression
o吾相認自己唔開心,Depression
o吾相講o野,Depression
o吾相講野,Depression
o吾相講嘢,Depression
o吾開心,Depression
o吾想郁,Depression
o吾想認自己5開心,Depression
o吾想認自己o吾開心,Depression
o吾想認自己sad,Depression
o吾想認自己吾開心,Depression
o吾想認自己唔開心,Depression
o吾想講o野,Depression
o吾想講野,Depression
o吾想講嘢,Depression
o吾認自己5開心,Depression
o吾認自己down,Depression
o吾認自己o吾開心,Depression
o吾認自己sad,Depression
o吾認自己吾開心,Depression
o吾認自己唔開心,Depression
o吾講o野,Depression
o吾講野,Depression
o吾講嘢,Depression
o吾識快樂,Depression
o吾識得快樂,Depression
o吾識得開心,Depression
o吾識開心,Depression
o吾願認自己5開心,Depression
o吾願認自己o吾開心,Depression
o吾願認自己sad,Depression
o吾願認自己吾開心,Depression
o吾願認自己唔開心,Depression
o咩o野都5相做,Depression
o咩o野都5想做,Depression
o咩o野都o吾相做,Depression
o咩o野都o吾想做,Depression
o咩o野都吾相做,Depression
o咩o野都吾想做,Depression
o咩o野都唔相做,Depression
o咩o野都唔想做,Depression
o咩都5相做,Depression
o咩都5想做,Depression
o咩都o吾相做,Depression
o咩都o吾想做,Depression
o咩都吾相做,Depression
o咩都吾想做,Depression
o咩都唔相做,Depression
o咩都唔想做,Depression
o咩野都5相做,Depression
o咩野都5想做,Depression
o咩野都o吾相做,Depression
o咩野都o吾想做,Depression
o咩野都吾相做,Depression
o咩野都吾想做,Depression
o咩野都唔相做,Depression
o咩野都唔想做,Depression
o咩嘢都5相做,Depression
o咩嘢都5想做,Depression
o咩嘢都o吾相做,Depression
o咩嘢都o吾想做,Depression
o咩嘢都吾相做,Depression
o咩嘢都吾想做,Depression
o咩嘢都唔相做,Depression
o咩嘢都唔想做,Depression
乜o野都5相做,Depression
乜o野都5想做,Depression
乜o野都o吾相做,Depression
乜o野都o吾想做,Depression
乜o野都吾相做,Depression
乜o野都吾想做,Depression
乜o野都唔相做,Depression
乜o野都唔想做,Depression
乜都5相做,Depression
乜都5想做,Depression
乜都o吾相做,Depression
乜都o吾想做,Depression
乜都吾相做,Depression
乜都吾想做,Depression
乜都唔相做,Depression
乜都唔想做,Depression
乜野都5相做,Depression
乜野都5想做,Depression
乜野都o吾相做,Depression
乜野都o吾想做,Depression
乜野都吾相做,Depression
乜野都吾想做,Depression
乜野都唔相做,Depression
乜野都唔想做,Depression
乜嘢都5相做,Depression
乜嘢都5想做,Depression
乜嘢都o吾相做,Depression
乜嘢都o吾想做,Depression
乜嘢都吾相做,Depression
乜嘢都吾想做,Depression
乜嘢都唔相做,Depression
乜嘢都唔想做,Depression
人生冇意義,Depression
人生好冇意義,Depression
人生好無意義,Depression
人生無意義,Depression
小小o野都諗得好負面,Depression
小小o野就覺得好有挫折感,Depression
小小o野就覺得好有挫敗感,Depression
小小o野就覺得自己failed,Depression
小小o野就覺得自己好fail,Depression
小小o野就覺得自己好失敗,Depression
小小o野就覺得自己勁失敗,Depression
小小o野就覺得自己超失敗,Depression
小小事都諗得好負面,Depression
小小野都諗得好負面,Depression
小小野就覺得好有挫折感,Depression
小小野就覺得好有挫敗感,Depression
小小野就覺得自己failed,Depression
小小野就覺得自己好fail,Depression
小小野就覺得自己好失敗,Depression
小小野就覺得自己勁失敗,Depression
小小野就覺得自己超失敗,Depression
小小嘢都諗得好負面,Depression
小小嘢就覺得好有挫折感,Depression
小小嘢就覺得好有挫敗感,Depression
小小嘢就覺得自己failed,Depression
小小嘢就覺得自己好fail,Depression
小小嘢就覺得自己好失敗,Depression
小小嘢就覺得自己勁失敗,Depression
小小嘢就覺得自己超失敗,Depression
冇jor開心ge感覺,Depression
冇jor開心o既感覺,Depression
冇jor開心既感覺,Depression
冇jor開心嘅感覺,Depression
冇o左開心ge感覺,Depression
冇o左開心o既感覺,Depression
冇o左開心既感覺,Depression
冇o左開心嘅感覺,Depression
冇o西希望,Depression
冇o西動力,Depression
冇o咩胃口,Depression
冇o咩動力,Depression
冇乜胃口,Depression
冇乜動力,Depression
冇左開心ge感覺,Depression
冇左開心o既感覺,Depression
冇左開心既感覺,Depression
冇左開心嘅感覺,Depression
冇咗開心ge感覺,Depression
冇咗開心o既感覺,Depression
冇咗開心既感覺,Depression
冇咗開心嘅感覺,Depression
冇咩胃口,Depression
冇咩動力,Depression
冇胃口,Depression
冇晒希望,Depression
冇晒動力,Depression
冇動力,Depression
冇動力做o野,Depression
冇動力做野,Depression
冇動力做嘢,Depression
冇精力,Depression
少少o野都諗得好負面,Depression
少少o野就覺得好有挫折感,Depression
少少o野就覺得好有挫敗感,Depression
少少o野就覺得自己failed,Depression
少少o野就覺得自己好fail,Depression
少少o野就覺得自己好失敗,Depression
少少o野就覺得自己勁失敗,Depression
少少o野就覺得自己超失敗,Depression
少少事都諗得好負面,Depression
少少野都諗得好負面,Depression
少少野就覺得好有挫折感,Depression
少少野就覺得好有挫敗感,Depression
少少野就覺得自己failed,Depression
少少野就覺得自己好fail,Depression
少少野就覺得自己好失敗,Depression
少少野就覺得自己勁失敗,Depression
少少野就覺得自己超失敗,Depression
少少嘢都諗得好負面,Depression
少少嘢就覺得好有挫折感,Depression
少少嘢就覺得好有挫敗感,Depression
少少嘢就覺得自己failed,Depression
少少嘢就覺得自己好fail,Depression
少少嘢就覺得自己好失敗,Depression
少少嘢就覺得自己勁失敗,Depression
少少嘢就覺得自己超失敗,Depression
心好攰,Depression
心勁攰,Depression
心很累,Depression
心情好差,Depression
心情勁差,Depression
心情超差,Depression
心情超級差,Depression
心情極差,Depression
心景好差,Depression
心景勁差,Depression
心景超差,Depression
心景超級差,Depression
心景極差,Depression
心超攰,Depression
心境好差,Depression
心境勁差,Depression
心境超差,Depression
心境超級差,Depression
心境極差,Depression
失去o西所有性趣,Depression
失去o西所有興趣,Depression
失去晒所有性趣,Depression
失去晒所有興趣,Depression
生存冇意義,Depression
生存好冇意義,Depression
生存好無意義,Depression
生存無意義,Depression
生存落去冇意義,Depression
生存落去好冇意義,Depression
生存落去好無意義,Depression
生存落去無意義,Depression
生命冇希望,Depression
生命無希望,Depression
生活冇意義,Depression
生活好冇意義,Depression
生活好無意義,Depression
生活無意義,Depression
仰屈,Depression
仰郁,Depression
仰壓,Depression
仰鬱,Depression
仰鬱緊張,Depression
好5開心,Depression
好o吾開心,Depression
好sad,Depression
好仰鬱,Depression
好有挫折感,Depression
好有挫敗感,Depression
好自卑,Depression
好冷漠,Depression
好吾開心,Depression
好抑屈,Depression
好抑郁,Depression
好抑壓,Depression
