Term,Parent
litigation,Fairness_viceP3
訴訟,Fairness_viceP3
訟案,Fairness_viceP3
起訴,Fairness_viceP3
destroying,Fairness_viceP3
摧毀,Fairness_viceP3
破壞,Fairness_viceP3
毀滅,Fairness_viceP3
毀壞,Fairness_viceP3
消滅,Fairness_viceP3
摧殘毀壞,Fairness_viceP3
滅殺,Fairness_viceP3
宰殺,Fairness_viceP3
sentenced,Fairness_viceP3
定罪,Fairness_viceP3
被判,Fairness_viceP3
被判刑,Fairness_viceP3
被定罪,Fairness_viceP3
charged,Fairness_viceP3
控訴,Fairness_viceP3
控告,Fairness_viceP3
指控,Fairness_viceP3
告,Fairness_viceP3
violations,Fairness_viceP3
違規,Fairness_viceP3
違反,Fairness_viceP3
違背,Fairness_viceP3
侵犯,Fairness_viceP3
違約,Fairness_viceP3
charges,Fairness_viceP3
費用,Fairness_viceP3
收費,Fairness_viceP3
要價,Fairness_viceP3
leave,Fairness_viceP3
離開,Fairness_viceP3
離去,Fairness_viceP3
走,Fairness_viceP3
遺留,Fairness_viceP3
留低,Fairness_viceP3
arrests,Fairness_viceP3
捉拿,Fairness_viceP3
扣留,Fairness_viceP3
拉,Fairness_viceP3
negative,Fairness_viceP3
負面,Fairness_viceP3
否定,Fairness_viceP3
消極,Fairness_viceP3
反面,Fairness_viceP3
拒絕,Fairness_viceP3
負極,Fairness_viceP3
lawsuits,Fairness_viceP3
打官司,Fairness_viceP3
violated,Fairness_viceP3
被侵犯,Fairness_viceP3
觸犯,Fairness_viceP3
侵害,Fairness_viceP3
侵擾,Fairness_viceP3
打擾,Fairness_viceP3
妨礙,Fairness_viceP3
broken,Fairness_viceP3
壞咗 ,Fairness_viceP3
破裂,Fairness_viceP3
破碎,Fairness_viceP3
有損壞,Fairness_viceP3
有毀壞,Fairness_viceP3
guilty,Fairness_viceP3
內疚,Fairness_viceP3
愧疚,Fairness_viceP3
自責,Fairness_viceP3
過意不去,Fairness_viceP3
有錯,Fairness_viceP3
有過失,Fairness_viceP3
有過錯,Fairness_viceP3
problem,Fairness_viceP3
問題,Fairness_viceP3
困難,Fairness_viceP3
難題,Fairness_viceP3
疑難,Fairness_viceP3
困境,Fairness_viceP3
麻煩,Fairness_viceP3
困難狀況,Fairness_viceP3
難關,Fairness_viceP3
victims,Fairness_viceP3
受害者,Fairness_viceP3
被害者,Fairness_viceP3
受騙者,Fairness_viceP3
受災者,Fairness_viceP3
犧牲者,Fairness_viceP3
罹難者,Fairness_viceP3
detained,Fairness_viceP3
羈押,Fairness_viceP3
扣押,Fairness_viceP3
使留下,Fairness_viceP3
被扣留,Fairness_viceP3
被拘留,Fairness_viceP3
被羈押,Fairness_viceP3
被扣押,Fairness_viceP3
inability,Fairness_viceP3
無能,Fairness_viceP3
無能力,Fairness_viceP3
無力,Fairness_viceP3
threaten,Fairness_viceP3
危害,Fairness_viceP3
low,Fairness_viceP3
低,Fairness_viceP3
平底,Fairness_viceP3
微,Fairness_viceP3
水平之下,Fairness_viceP3
pay,Fairness_viceP3
支付,Fairness_viceP3
付款,Fairness_viceP3
付錢,Fairness_viceP3
付費,Fairness_viceP3
支出,Fairness_viceP3
有利可圖,Fairness_viceP3
hide,Fairness_viceP3
隱藏,Fairness_viceP3
躲藏,Fairness_viceP3
掩蔽,Fairness_viceP3
遮掩,Fairness_viceP3
匿藏,Fairness_viceP3
隱瞞,Fairness_viceP3
匿埋,Fairness_viceP3
scared,Fairness_viceP3
害怕的,Fairness_viceP3
恐懼的,Fairness_viceP3
驚慌的,Fairness_viceP3
擔心的,Fairness_viceP3
憂慮的,Fairness_viceP3
惶恐的,Fairness_viceP3
驚恐的,Fairness_viceP3
bad,Fairness_viceP3
壞,Fairness_viceP3
不好,Fairness_viceP3
差,Fairness_viceP3
低劣,Fairness_viceP3
糟糕,Fairness_viceP3
差勁,Fairness_viceP3
惡劣,Fairness_viceP3
唔好,Fairness_viceP3
令人不悅,Fairness_viceP3
lies,Fairness_viceP3
謊言,Fairness_viceP3
說謊,Fairness_viceP3
虛假,Fairness_viceP3
欺騙,Fairness_viceP3
大話,Fairness_viceP3
detention,Fairness_viceP3
拘禁,Fairness_viceP3
罰留堂,Fairness_viceP3
關押,Fairness_viceP3
steal,Fairness_viceP3
偷竊,Fairness_viceP3
盜竊,Fairness_viceP3
偷取,Fairness_viceP3
搶劫,Fairness_viceP3
偷嘢,Fairness_viceP3
worries,Fairness_viceP3
憂心,Fairness_viceP3
發愁,Fairness_viceP3
愁緒,Fairness_viceP3
denied,Fairness_viceP3
否決,Fairness_viceP3
拒絕承認,Fairness_viceP3
駁回,Fairness_viceP3
不准,Fairness_viceP3
否認,Fairness_viceP3
駁斥,Fairness_viceP3
謝絕,Fairness_viceP3
debt,Fairness_viceP3
負債,Fairness_viceP3
欠債,Fairness_viceP3
借債,Fairness_viceP3
欠款,Fairness_viceP3
債務,Fairness_viceP3
accused,Fairness_viceP3
被告,Fairness_viceP3
被控,Fairness_viceP3
被指控,Fairness_viceP3
resigned,Fairness_viceP3
辭職的,Fairness_viceP3
不抗拒的,Fairness_viceP3
屈服的,Fairness_viceP3
順服的,Fairness_viceP3
忍氣吞聲的,Fairness_viceP3
引退的,Fairness_viceP3
無可奈何,Fairness_viceP3
順從,Fairness_viceP3
不得不接受,Fairness_viceP3
violation,Fairness_viceP3
蹧踐,Fairness_viceP3
complaints,Fairness_viceP3
投訴,Fairness_viceP3
抱怨 ,Fairness_viceP3
埋怨,Fairness_viceP3
不滿,Fairness_viceP3
訴苦,Fairness_viceP3
怨言,Fairness_viceP3
責備,Fairness_viceP3
punished,Fairness_viceP3
deny,Fairness_viceP3
不承認,Fairness_viceP3
抵賴,Fairness_viceP3
不認,Fairness_viceP3
不允許,Fairness_viceP3
唔承認,Fairness_viceP3
唔認,Fairness_viceP3
唔允許,Fairness_viceP3
fraud,Fairness_viceP3
欺詐,Fairness_viceP3
詐騙,Fairness_viceP3
騙局,Fairness_viceP3
詭計,Fairness_viceP3
騙子,Fairness_viceP3
假貨,Fairness_viceP3
refuse,Fairness_viceP3
illegal,Fairness_viceP3
非法,Fairness_viceP3
不合法,Fairness_viceP3
唔合法,Fairness_viceP3
違反規則的,Fairness_viceP3
犯罪的,Fairness_viceP3
desperate,Fairness_viceP3
絕望,Fairness_viceP3
拼命,Fairness_viceP3
不顧一切,Fairness_viceP3
孤注一擲,Fairness_viceP3
無計可施,Fairness_viceP3
迫切 ,Fairness_viceP3
鋌而走險的,Fairness_viceP3
情急拼命的,Fairness_viceP3
threatened,Fairness_viceP3
受威脅,Fairness_viceP3
受到威嚇,Fairness_viceP3
受到恐嚇,Fairness_viceP3
受到威逼 ,Fairness_viceP3
impose,Fairness_viceP3
強制 ,Fairness_viceP3
加諸,Fairness_viceP3
徵收,Fairness_viceP3
強制實行,Fairness_viceP3
delayed,Fairness_viceP3
延遲,Fairness_viceP3
耽擱,Fairness_viceP3
遲緩 ,Fairness_viceP3
慢了,Fairness_viceP3
推遲,Fairness_viceP3
延期,Fairness_viceP3
耽誤,Fairness_viceP3
延遲嘅,Fairness_viceP3
耽擱嘅,Fairness_viceP3
遲緩嘅 ,Fairness_viceP3
killings,Fairness_viceP3
殺戮,Fairness_viceP3
殺生,Fairness_viceP3
prison,Fairness_viceP3
監獄,Fairness_viceP3
囚禁所 ,Fairness_viceP3
監禁,Fairness_viceP3
監牢,Fairness_viceP3
牢籠,Fairness_viceP3
禁錮,Fairness_viceP3
criminal,Fairness_viceP3
罪人,Fairness_viceP3
犯罪分子,Fairness_viceP3
不道德的,Fairness_viceP3
injustice,Fairness_viceP3
不公正,Fairness_viceP3
不公平,Fairness_viceP3
不義 ,Fairness_viceP3
不公平嘅待遇,Fairness_viceP3
不正義,Fairness_viceP3
accusations,Fairness_viceP3
控罪,Fairness_viceP3
struggles,Fairness_viceP3
