Term,Parent
fresh,Fairness_virtueP3
新鮮,Fairness_virtueP3
清新,Fairness_virtueP3
清爽,Fairness_virtueP3
accepting,Fairness_virtueP3
接受,Fairness_virtueP3
接納,Fairness_virtueP3
願意,Fairness_virtueP3
贊同,Fairness_virtueP3
同意,Fairness_virtueP3
swiftly,Fairness_virtueP3
迅速,Fairness_virtueP3
敏捷,Fairness_virtueP3
迅疾,Fairness_virtueP3
快捷,Fairness_virtueP3
爽手,Fairness_virtueP3
reached,Fairness_virtueP3
到達,Fairness_virtueP3
達到,Fairness_virtueP3
達成,Fairness_virtueP3
抵達,Fairness_virtueP3
justice,Fairness_virtueP3
正義,Fairness_virtueP3
公義,Fairness_virtueP3
公平,Fairness_virtueP3
伸張正義,Fairness_virtueP3
supporting,Fairness_virtueP3
支撐,Fairness_virtueP3
clearly,Fairness_virtueP3
清楚,Fairness_virtueP3
明確,Fairness_virtueP3
清晰,Fairness_virtueP3
清清楚楚,Fairness_virtueP3
清楚地,Fairness_virtueP3
明確地,Fairness_virtueP3
清晰地,Fairness_virtueP3
free,Fairness_virtueP3
自由,Fairness_virtueP3
自在,Fairness_virtueP3
無拘無束,Fairness_virtueP3
自由自在,Fairness_virtueP3
冇限制 ,Fairness_virtueP3
免費,Fairness_virtueP3
冇拘束,Fairness_virtueP3
冇限制,Fairness_virtueP3
唔使錢,Fairness_virtueP3
entitled,Fairness_virtueP3
有權,Fairness_virtueP3
有資格,Fairness_virtueP3
授權,Fairness_virtueP3
被賦予權力的,Fairness_virtueP3
gains,Fairness_virtueP3
盈利,Fairness_virtueP3
收益,Fairness_virtueP3
增益,Fairness_virtueP3
拎到嘅嘢,Fairness_virtueP3
收穫,Fairness_virtueP3
engagement,Fairness_virtueP3
訂婚,Fairness_virtueP3
訂約,Fairness_virtueP3
承諾,Fairness_virtueP3
參與,Fairness_virtueP3
婚約,Fairness_virtueP3
諾言,Fairness_virtueP3
保證,Fairness_virtueP3
投入,Fairness_virtueP3
active,Fairness_virtueP3
活躍,Fairness_virtueP3
積極,Fairness_virtueP3
主動,Fairness_virtueP3
活動中,Fairness_virtueP3
活性,Fairness_virtueP3
wealthy,Fairness_virtueP3
富有嘅,Fairness_virtueP3
富裕嘅,Fairness_virtueP3
有錢嘅,Fairness_virtueP3
富饒嘅,Fairness_virtueP3
富貴嘅,Fairness_virtueP3
grant,Fairness_virtueP3
授予,Fairness_virtueP3
給予,Fairness_virtueP3
准許,Fairness_virtueP3
允許,Fairness_virtueP3
撥款,Fairness_virtueP3
賜予,Fairness_virtueP3
competitive,Fairness_virtueP3
具競爭,Fairness_virtueP3
競爭激烈,Fairness_virtueP3
競賽的,Fairness_virtueP3
競爭的,Fairness_virtueP3
好競爭的,Fairness_virtueP3
好勝的,Fairness_virtueP3
favorite,Fairness_virtueP3
最喜愛,Fairness_virtueP3
最愛,Fairness_virtueP3
心頭好,Fairness_virtueP3
心水,Fairness_virtueP3
摯愛,Fairness_virtueP3
最鐘意,Fairness_virtueP3
最中意,Fairness_virtueP3
benefits,Fairness_virtueP3
好處,Fairness_virtueP3
益處,Fairness_virtueP3
利益,Fairness_virtueP3
得益,Fairness_virtueP3
著數,Fairness_virtueP3
TRUE,Fairness_virtueP3
正確,Fairness_virtueP3
真實,Fairness_virtueP3
確實,Fairness_virtueP3
真確,Fairness_virtueP3
確當,Fairness_virtueP3
真,Fairness_virtueP3
ethical,Fairness_virtueP3
道德,Fairness_virtueP3
倫理,Fairness_virtueP3
道義,Fairness_virtueP3
share,Fairness_virtueP3
分享,Fairness_virtueP3
分派,Fairness_virtueP3
共享,Fairness_virtueP3
分配,Fairness_virtueP3
分擔,Fairness_virtueP3
resolve,Fairness_virtueP3
銳意,Fairness_virtueP3
解決方案,Fairness_virtueP3
堅決信念,Fairness_virtueP3
giving,Fairness_virtueP3
贈與,Fairness_virtueP3
捐贈,Fairness_virtueP3
奉獻,Fairness_virtueP3
施贈,Fairness_virtueP3
提供,Fairness_virtueP3
benefit,Fairness_virtueP3
裨益,Fairness_virtueP3
優勢,Fairness_virtueP3
優點,Fairness_virtueP3
正面影響,Fairness_virtueP3
admitted,Fairness_virtueP3
錄取,Fairness_virtueP3
招認,Fairness_virtueP3
attract,Fairness_virtueP3
吸引,Fairness_virtueP3
吸睛,Fairness_virtueP3
有魅力,Fairness_virtueP3
引起興趣,Fairness_virtueP3
吸引注意,Fairness_virtueP3
招引,Fairness_virtueP3
誘惑,Fairness_virtueP3
verdict,Fairness_virtueP3
裁決,Fairness_virtueP3
判決,Fairness_virtueP3
評定,Fairness_virtueP3
宣判,Fairness_virtueP3
定案,Fairness_virtueP3
裁定,Fairness_virtueP3
freedom,Fairness_virtueP3
自主,Fairness_virtueP3
隨意,Fairness_virtueP3
自決,Fairness_virtueP3
解放,Fairness_virtueP3
獨立,Fairness_virtueP3
不受限制,Fairness_virtueP3
opportunity,Fairness_virtueP3
機會,Fairness_virtueP3
時機,Fairness_virtueP3
可能性,Fairness_virtueP3
機遇,Fairness_virtueP3
良機,Fairness_virtueP3
motivated,Fairness_virtueP3
有動力,Fairness_virtueP3
有動機,Fairness_virtueP3
激勵的,Fairness_virtueP3
熱情的,Fairness_virtueP3
積極的,Fairness_virtueP3
有幹勁,Fairness_virtueP3
有目的,Fairness_virtueP3
credit,Fairness_virtueP3
信用,Fairness_virtueP3
信譽,Fairness_virtueP3
聲譽,Fairness_virtueP3
可信度,Fairness_virtueP3
sentences,Fairness_virtueP3
判刑,Fairness_virtueP3
判罪,Fairness_virtueP3
宣告,Fairness_virtueP3
freed,Fairness_virtueP3
釋放,Fairness_virtueP3
解脫,Fairness_virtueP3
解除,Fairness_virtueP3
獲釋,Fairness_virtueP3
advantage,Fairness_virtueP3
有利條件,Fairness_virtueP3
亮點,Fairness_virtueP3
boost,Fairness_virtueP3
提高,Fairness_virtueP3
fair,Fairness_virtueP3
公平的,Fairness_virtueP3
公正的,Fairness_virtueP3
公允的,Fairness_virtueP3
interests,Fairness_virtueP3
興趣,Fairness_virtueP3
個人利益,Fairness_virtueP3
意欲,Fairness_virtueP3
喜好,Fairness_virtueP3
關注,Fairness_virtueP3
吸引力,Fairness_virtueP3
甜頭 ,Fairness_virtueP3
enjoy,Fairness_virtueP3
享受,Fairness_virtueP3
歡喜,Fairness_virtueP3
樂趣,Fairness_virtueP3
欣賞,Fairness_virtueP3
winners,Fairness_virtueP3
勝利者,Fairness_virtueP3
獲勝者,Fairness_virtueP3
冠軍,Fairness_virtueP3
優勝者,Fairness_virtueP3
贏家 ,Fairness_virtueP3
surprise,Fairness_virtueP3
驚喜,Fairness_virtueP3
出乎意料,Fairness_virtueP3
驚奇,Fairness_virtueP3
驚訝,Fairness_virtueP3
吃驚,Fairness_virtueP3
意想不到,Fairness_virtueP3
突然來臨,Fairness_virtueP3
詫異,Fairness_virtueP3
估唔到,Fairness_virtueP3
assets,Fairness_virtueP3
資產,Fairness_virtueP3
資源,Fairness_virtueP3
資本,Fairness_virtueP3
資金,Fairness_virtueP3
財富,Fairness_virtueP3
財產,Fairness_virtueP3
財物,Fairness_virtueP3
貴重物品,Fairness_virtueP3
honored,Fairness_virtueP3
榮幸,Fairness_virtueP3
光榮,Fairness_virtueP3
榮耀,Fairness_virtueP3
受寵,Fairness_virtueP3
受尊敬,Fairness_virtueP3
受表揚,Fairness_virtueP3
受崇敬,Fairness_virtueP3
受敬重,Fairness_virtueP3
受讚揚,Fairness_virtueP3
增光,Fairness_virtueP3
給……以榮譽,Fairness_virtueP3
protect,Fairness_virtueP3
保護,Fairness_virtueP3
保障,Fairness_virtueP3
保育,Fairness_virtueP3
護衛,Fairness_virtueP3
保庇,Fairness_virtueP3
維護,Fairness_virtueP3
保持,Fairness_virtueP3
保全,Fairness_virtueP3
awarded,Fairness_virtueP3
獲獎,Fairness_virtueP3
頒發,Fairness_virtueP3
頒獎,Fairness_virtueP3
授獎,Fairness_virtueP3
freedoms,Fairness_virtueP3
自由權,Fairness_virtueP3
自由意志,Fairness_virtueP3
自由思想,Fairness_virtueP3
獨立自主 ,Fairness_virtueP3
wealth,Fairness_virtueP3
財貨,Fairness_virtueP3
財源,Fairness_virtueP3
錢財,Fairness_virtueP3
財力,Fairness_virtueP3
豐富,Fairness_virtueP3
clear,Fairness_virtueP3
清澈,Fairness_virtueP3
明白,Fairness_virtueP3
透徹,Fairness_virtueP3
清明,Fairness_virtueP3
明朗,Fairness_virtueP3
易懂的,Fairness_virtueP3
確定的,Fairness_virtueP3
無可置疑的,Fairness_virtueP3
明白無誤的,Fairness_virtueP3
明顯的,Fairness_virtueP3
晴朗的,Fairness_virtueP3
純淨的,Fairness_virtueP3
透明的,Fairness_virtueP3
matters,Fairness_virtueP3
事項,Fairness_virtueP3
事物,Fairness_virtueP3
事務,Fairness_virtueP3
agreed,Fairness_virtueP3
約定,Fairness_virtueP3
約好,Fairness_virtueP3
通過的,Fairness_virtueP3
商定的,Fairness_virtueP3
win,Fairness_virtueP3
奪得,Fairness_virtueP3
recommend,Fairness_virtueP3
提議,Fairness_virtueP3
介紹,Fairness_virtueP3
託付,Fairness_virtueP3
付託,Fairness_virtueP3
peacefully,Fairness_virtueP3
