Term,Parent
异族,Loyalty_viceP7
異族,Loyalty_viceP7
外族,Loyalty_viceP7
外邦人,Loyalty_viceP7
異邦人,Loyalty_viceP7
外籍人士,Loyalty_viceP7
外國人,Loyalty_viceP7
异己,Loyalty_viceP7
異己,Loyalty_viceP7
異類,Loyalty_viceP7
異端,Loyalty_viceP7
異質,Loyalty_viceP7
異鄰,Loyalty_viceP7
異國人,Loyalty_viceP7
異議者,Loyalty_viceP7
恶棍,Loyalty_viceP7
惡棍,Loyalty_viceP7
壞人,Loyalty_viceP7
惡徒,Loyalty_viceP7
不法分子,Loyalty_viceP7
黑社會,Loyalty_viceP7
混蛋,Loyalty_viceP7
糟糕的人,Loyalty_viceP7
不道德的人,Loyalty_viceP7
王八蛋,Loyalty_viceP7
害蟲,Loyalty_viceP7
壞蛋,Loyalty_viceP7
狗屎,Loyalty_viceP7
惡霸,Loyalty_viceP7
混帳,Loyalty_viceP7
移民,Loyalty_viceP7
移居,Loyalty_viceP7
遷移,Loyalty_viceP7
邪说,Loyalty_viceP7
邪說,Loyalty_viceP7
謬論,Loyalty_viceP7
虛假宣傳,Loyalty_viceP7
謠言,Loyalty_viceP7
誤導性言論,Loyalty_viceP7
虛假觀點,Loyalty_viceP7
荒謬理論,Loyalty_viceP7
歪理邪說,Loyalty_viceP7
妖言,Loyalty_viceP7
假料,Loyalty_viceP7
邪教,Loyalty_viceP7
異端教派,Loyalty_viceP7
邪門歪道,Loyalty_viceP7
教派狂熱,Loyalty_viceP7
迷信團體,Loyalty_viceP7
邪惡組織,Loyalty_viceP7
獨裁教團,Loyalty_viceP7
異教,Loyalty_viceP7
危害国家,Loyalty_viceP7
危害國家,Loyalty_viceP7
破壞國家,Loyalty_viceP7
威脅國家,Loyalty_viceP7
損害國家,Loyalty_viceP7
外国,Loyalty_viceP7
外國,Loyalty_viceP7
外邦,Loyalty_viceP7
異國,Loyalty_viceP7
外埠,Loyalty_viceP7
外地,Loyalty_viceP7
脱党,Loyalty_viceP7
脫黨,Loyalty_viceP7
退出黨派,Loyalty_viceP7
背叛黨派,Loyalty_viceP7
放棄黨籍,Loyalty_viceP7
脫離黨組織,Loyalty_viceP7
退党,Loyalty_viceP7
退黨,Loyalty_viceP7
離黨,Loyalty_viceP7
叛党,Loyalty_viceP7
叛黨,Loyalty_viceP7
叛逃,Loyalty_viceP7
背棄,Loyalty_viceP7
通敌,Loyalty_viceP7
通敵,Loyalty_viceP7
勾結敵對勢力,Loyalty_viceP7
與敵合流,Loyalty_viceP7
背叛國家,Loyalty_viceP7
協助敵人,Loyalty_viceP7
勾結外國勢力,Loyalty_viceP7
逃亡,Loyalty_viceP7
潛逃,Loyalty_viceP7
亡命,Loyalty_viceP7
出走,Loyalty_viceP7
出逃,Loyalty_viceP7
走甩,Loyalty_viceP7
避難,Loyalty_viceP7
逃兵,Loyalty_viceP7
逃亡士兵,Loyalty_viceP7
脫逃士兵,Loyalty_viceP7
棄軍,Loyalty_viceP7
双开,Loyalty_viceP7
雙開,Loyalty_viceP7
双规,Loyalty_viceP7
雙規,Loyalty_viceP7
舍弃,Loyalty_viceP7
舍棄,Loyalty_viceP7
沊低,Loyalty_viceP7
丟掉,Loyalty_viceP7
丟棄,Loyalty_viceP7
沊,Loyalty_viceP7
擅离,Loyalty_viceP7
擅離,Loyalty_viceP7
違規離開,Loyalty_viceP7
私自離開,Loyalty_viceP7
脫離職務,Loyalty_viceP7
吞泡,Loyalty_viceP7
開小差,Loyalty_viceP7
欺瞒,Loyalty_viceP7
欺瞞,Loyalty_viceP7
抛弃,Loyalty_viceP7
割捨,Loyalty_viceP7
廢棄,Loyalty_viceP7
賣國賊,Loyalty_viceP7
背信棄義者,Loyalty_viceP7
二五仔,Loyalty_viceP7
內奸,Loyalty_viceP7
反骨仔,Loyalty_viceP7
鬼頭仔,Loyalty_viceP7
叛离,Loyalty_viceP7
叛離,Loyalty_viceP7
背離,Loyalty_viceP7
脫離,Loyalty_viceP7
反骨,Loyalty_viceP7
掉轉槍頭,Loyalty_viceP7
手指拗出唔拗入,Loyalty_viceP7
食碗面，反碗底,Loyalty_viceP7
叛教,Loyalty_viceP7
背教,Loyalty_viceP7
變節,Loyalty_viceP7
轉教,Loyalty_viceP7
叛国,Loyalty_viceP7
叛國,Loyalty_viceP7
賣國,Loyalty_viceP7
叛变,Loyalty_viceP7
叛變,Loyalty_viceP7
叛逆,Loyalty_viceP7
卖国,Loyalty_viceP7
背叛祖國,Loyalty_viceP7
背叛國家利益,Loyalty_viceP7
离弃,Loyalty_viceP7
離棄,Loyalty_viceP7
恐怖主义,Loyalty_viceP7
暴力主義,Loyalty_viceP7
強行政治,Loyalty_viceP7
極端主義,Loyalty_viceP7
开除,Loyalty_viceP7
開革,Loyalty_viceP7
解聘,Loyalty_viceP7
炒魷,Loyalty_viceP7
间谍,Loyalty_viceP7
間諜,Loyalty_viceP7
特工,Loyalty_viceP7
祕密探員,Loyalty_viceP7
諜報員,Loyalty_viceP7
臥底,Loyalty_viceP7
內鬼,Loyalty_viceP7
辜负,Loyalty_viceP7
辜負,Loyalty_viceP7
失信,Loyalty_viceP7
虧欠,Loyalty_viceP7
忽略,Loyalty_viceP7
虧負,Loyalty_viceP7
异类,Loyalty_viceP7
異常,Loyalty_viceP7
獨特,Loyalty_viceP7
特異,Loyalty_viceP7
怪胎,Loyalty_viceP7
另类,Loyalty_viceP7
另類,Loyalty_viceP7
非傳統,Loyalty_viceP7
非常規,Loyalty_viceP7
唔同,Loyalty_viceP7
不同,Loyalty_viceP7
个别人,Loyalty_viceP7
個別人,Loyalty_viceP7
個人,Loyalty_viceP7
個體,Loyalty_viceP7
單獨的人,Loyalty_viceP7
有啲人,Loyalty_viceP7
其他人,Loyalty_viceP7
敌人,Loyalty_viceP7
敵對者,Loyalty_viceP7
敵意者,Loyalty_viceP7
對頭,Loyalty_viceP7
冤家,Loyalty_viceP7
单独,Loyalty_viceP7
只身,Loyalty_viceP7
孑立,Loyalty_viceP7
一個,Loyalty_viceP7
出头鸟,Loyalty_viceP7
出頭鳥,Loyalty_viceP7
翹楚,Loyalty_viceP7
佼佼者,Loyalty_viceP7
領軍人物,Loyalty_viceP7
獨當一面,Loyalty_viceP7
杰出人才,Loyalty_viceP7
出卖,Loyalty_viceP7
出律,Loyalty_viceP7
出軌,Loyalty_viceP7
不守信,Loyalty_viceP7
不可靠,Loyalty_viceP7
不信守,Loyalty_viceP7
唔守信,Loyalty_viceP7
唔誠實,Loyalty_viceP7
唔信守,Loyalty_viceP7
不法,Loyalty_viceP7
变节,Loyalty_viceP7
轉向,Loyalty_viceP7
變心,Loyalty_viceP7
反水,Loyalty_viceP7
背信弃义,Loyalty_viceP7
唔忠誠,Loyalty_viceP7
背弃,Loyalty_viceP7
暴恐,Loyalty_viceP7
暴力恐怖主義,Loyalty_viceP7
恐襲,Loyalty_viceP7
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
