Term,Parent
准则,Morality_General
原則,Morality_General
方針*,Morality_General
主义,Morality_General
主義,Morality_General
正确,Morality_General
赞誉,Morality_General
赞扬,Morality_General
赞许,Morality_General
赞赏,Morality_General
赞美,Morality_General
越轨,Morality_General
越軌,Morality_General
原则,Morality_General
有价值,Morality_General
勇气,Morality_General
勇氣,Morality_General
义士,Morality_General
義士,Morality_General
学说,Morality_General
學說,Morality_General
信条,Morality_General
信條,Morality_General
恶魔,Morality_General
惡魔,Morality_General
无可指摘,Morality_General
無可指摘,Morality_General
无可指责,Morality_General
無可指責,Morality_General
无过错,Morality_General
無過錯,Morality_General
无德,Morality_General
無德,Morality_General
缺德,Morality_General
伟岸,Morality_General
偉岸,Morality_General
失礼,Morality_General
伤风败俗,Morality_General
傷風敗俗,Morality_General
恰当,Morality_General
品德,Morality_General
模范,Morality_General
模範,Morality_General
伦理,Morality_General
良心,Morality_General
可敬,Morality_General
可嘉,Morality_General
值得讚賞,Morality_General
值得欣賞,Morality_General
值得稱讚,Morality_General
值得敬佩,Morality_General
值得讚美,Morality_General
值得鼓勵*,Morality_General
值得嘉許,Morality_General
慷慨,Morality_General
楷模,Morality_General
榜樣,Morality_General
行為標兵,Morality_General
经验,Morality_General
經驗,Morality_General
教义,Morality_General
教義,Morality_General
教训,Morality_General
教訓,Morality_General
价值观,Morality_General
嘉许,Morality_General
嘉許,Morality_General
坏事,Morality_General
壞事,Morality_General
坏人,Morality_General
法则,Morality_General
法則,Morality_General
典范,Morality_General
道义,Morality_General
犯错,Morality_General
做错,Morality_General
做錯,Morality_General
触犯,Morality_General
称赞,Morality_General
不道德,Morality_General
榜样,Morality_General
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
