Term,Parent
庄重,Sanctity_virtueP7
莊重,Sanctity_virtueP7
莊嚴 ,Sanctity_virtueP7
莊敬,Sanctity_virtueP7
嚴穆,Sanctity_virtueP7
鄭重,Sanctity_virtueP7
忠贞,Sanctity_virtueP7
忠誠 ,Sanctity_virtueP7
赤膽忠心,Sanctity_virtueP7
质朴,Sanctity_virtueP7
質樸,Sanctity_virtueP7
純樸 ,Sanctity_virtueP7
樸實 ,Sanctity_virtueP7
樸素 ,Sanctity_virtueP7
淳樸,Sanctity_virtueP7
正道,Sanctity_virtueP7
公道 ,Sanctity_virtueP7
正當 ,Sanctity_virtueP7
正派 ,Sanctity_virtueP7
正途,Sanctity_virtueP7
正派,Sanctity_virtueP7
正道 ,Sanctity_virtueP7
品行端正,Sanctity_virtueP7
贞洁,Sanctity_virtueP7
貞潔,Sanctity_virtueP7
貞節,Sanctity_virtueP7
忠貞 ,Sanctity_virtueP7
高潔,Sanctity_virtueP7
純正高潔,Sanctity_virtueP7
贞德,Sanctity_virtueP7
貞德,Sanctity_virtueP7
贞操,Sanctity_virtueP7
貞操,Sanctity_virtueP7
貞節 ,Sanctity_virtueP7
貞潔 ,Sanctity_virtueP7
節操,Sanctity_virtueP7
无罪,Sanctity_virtueP7
清白 ,Sanctity_virtueP7
冇罪,Sanctity_virtueP7
冇犯罪,Sanctity_virtueP7
无邪,Sanctity_virtueP7
無邪,Sanctity_virtueP7
純真 ,Sanctity_virtueP7
天真 ,Sanctity_virtueP7
清純 ,Sanctity_virtueP7
无瑕,Sanctity_virtueP7
無瑕,Sanctity_virtueP7
無瑕疵,Sanctity_virtueP7
無缺 ,Sanctity_virtueP7
无菌,Sanctity_virtueP7
無菌,Sanctity_virtueP7
無細菌,Sanctity_virtueP7
無病菌,Sanctity_virtueP7
冇細菌,Sanctity_virtueP7
冇病菌,Sanctity_virtueP7
无辜,Sanctity_virtueP7
無罪 ,Sanctity_virtueP7
無過,Sanctity_virtueP7
冇過,Sanctity_virtueP7
卫生,Sanctity_virtueP7
na,Sanctity_virtueP7
完美,Sanctity_virtueP7
至善至美,Sanctity_virtueP7
無可挑剔,Sanctity_virtueP7
無缺無瑕,Sanctity_virtueP7
無懈可擊 ,Sanctity_virtueP7
十全十美,Sanctity_virtueP7
完好,Sanctity_virtueP7
完好無缺 ,Sanctity_virtueP7
童贞,Sanctity_virtueP7
童貞,Sanctity_virtueP7
未試過,Sanctity_virtueP7
未掂過,Sanctity_virtueP7
未破過,Sanctity_virtueP7
處,Sanctity_virtueP7
寺,Sanctity_virtueP7
寺廟,Sanctity_virtueP7
廟宇 ,Sanctity_virtueP7
廟院,Sanctity_virtueP7
寺院,Sanctity_virtueP7
圣徒,Sanctity_virtueP7
聖徒,Sanctity_virtueP7
聖士,Sanctity_virtueP7
聖者,Sanctity_virtueP7
聖化嘅門徒,Sanctity_virtueP7
圣人,Sanctity_virtueP7
聖人,Sanctity_virtueP7
聖賢 ,Sanctity_virtueP7
聖僧,Sanctity_virtueP7
賢人,Sanctity_virtueP7
圣贤,Sanctity_virtueP7
聖賢,Sanctity_virtueP7
圣女,Sanctity_virtueP7
聖女,Sanctity_virtueP7
神女,Sanctity_virtueP7
圣洁,Sanctity_virtueP7
聖潔,Sanctity_virtueP7
神聖純潔,Sanctity_virtueP7
純潔崇高 ,Sanctity_virtueP7
神聖而純真潔淨,Sanctity_virtueP7
圣德,Sanctity_virtueP7
聖德,Sanctity_virtueP7
聖善,Sanctity_virtueP7
崇高德行,Sanctity_virtueP7
聖惪,Sanctity_virtueP7
神圣,Sanctity_virtueP7
神聖,Sanctity_virtueP7
聖潔 ,Sanctity_virtueP7
崇高,Sanctity_virtueP7
少女,Sanctity_virtueP7
後生女,Sanctity_virtueP7
上帝,Sanctity_virtueP7
天主,Sanctity_virtueP7
創造者,Sanctity_virtueP7
萬物之源,Sanctity_virtueP7
宇宙創造主,Sanctity_virtueP7
上天,Sanctity_virtueP7
老天,Sanctity_virtueP7
澄澈,Sanctity_virtueP7
清澄,Sanctity_virtueP7
明澈,Sanctity_virtueP7
澄瑩,Sanctity_virtueP7
無過 ,Sanctity_virtueP7
罪名不成立,Sanctity_virtueP7
虔信,Sanctity_virtueP7
虔誠 ,Sanctity_virtueP7
虔心,Sanctity_virtueP7
虔敬 ,Sanctity_virtueP7
虔诚,Sanctity_virtueP7
虔誠,Sanctity_virtueP7
虔心 ,Sanctity_virtueP7
谦卑,Sanctity_virtueP7
謙卑,Sanctity_virtueP7
謙虛,Sanctity_virtueP7
謙恭,Sanctity_virtueP7
謙遜,Sanctity_virtueP7
自謙,Sanctity_virtueP7
庙,Sanctity_virtueP7
廟宇,Sanctity_virtueP7
宮廟,Sanctity_virtueP7
廟堂,Sanctity_virtueP7
苦修,Sanctity_virtueP7
苦行 ,Sanctity_virtueP7
刻苦修行,Sanctity_virtueP7
苦行,Sanctity_virtueP7
苦修 ,Sanctity_virtueP7
禁欲,Sanctity_virtueP7
禁慾,Sanctity_virtueP7
戒慾,Sanctity_virtueP7
戒欲,Sanctity_virtueP7
清心寡欲,Sanctity_virtueP7
戒,Sanctity_virtueP7
禁戒,Sanctity_virtueP7
戒除 ,Sanctity_virtueP7
革除,Sanctity_virtueP7
改掉,Sanctity_virtueP7
节制,Sanctity_virtueP7
節制,Sanctity_virtueP7
自我克制,Sanctity_virtueP7
有限度控制,Sanctity_virtueP7
节欲,Sanctity_virtueP7
節慾,Sanctity_virtueP7
慾望控制,Sanctity_virtueP7
欲望節制,Sanctity_virtueP7
抑制慾望,Sanctity_virtueP7
克制慾望,Sanctity_virtueP7
精致,Sanctity_virtueP7
精緻,Sanctity_virtueP7
精工細作,Sanctity_virtueP7
精巧,Sanctity_virtueP7
精美,Sanctity_virtueP7
高雅,Sanctity_virtueP7
典雅,Sanctity_virtueP7
雅致,Sanctity_virtueP7
提纯,Sanctity_virtueP7
提純,Sanctity_virtueP7
提升純度,Sanctity_virtueP7
提高純正度,Sanctity_virtueP7
提高純度,Sanctity_virtueP7
提升純淨度,Sanctity_virtueP7
精煉,Sanctity_virtueP7
提煉,Sanctity_virtueP7
教堂,Sanctity_virtueP7
聖堂,Sanctity_virtueP7
禮拜堂,Sanctity_virtueP7
基督教會建築,Sanctity_virtueP7
天主教會建築,Sanctity_virtueP7
教会,Sanctity_virtueP7
教會,Sanctity_virtueP7
教派,Sanctity_virtueP7
信徒組織,Sanctity_virtueP7
高洁,Sanctity_virtueP7
清高,Sanctity_virtueP7
高尚廉潔,Sanctity_virtueP7
干净,Sanctity_virtueP7
潔淨,Sanctity_virtueP7
端正,Sanctity_virtueP7
端莊,Sanctity_virtueP7
合乎規矩,Sanctity_virtueP7
笃信,Sanctity_virtueP7
篤信,Sanctity_virtueP7
信仰堅定,Sanctity_virtueP7
信念堅定,Sanctity_virtueP7
忠於信仰,Sanctity_virtueP7
忠信,Sanctity_virtueP7
祠,Sanctity_virtueP7
神廟,Sanctity_virtueP7
神祠,Sanctity_virtueP7
神的宗廟,Sanctity_virtueP7
纯正,Sanctity_virtueP7
純正,Sanctity_virtueP7
純粹,Sanctity_virtueP7
純淨,Sanctity_virtueP7
純淨正宗,Sanctity_virtueP7
纯真,Sanctity_virtueP7
純真,Sanctity_virtueP7
純情,Sanctity_virtueP7
纯朴,Sanctity_virtueP7
純樸,Sanctity_virtueP7
純粹簡樸,Sanctity_virtueP7
纯洁,Sanctity_virtueP7
純粹潔白,Sanctity_virtueP7
纯粹,Sanctity_virtueP7
处女,Sanctity_virtueP7
處女,Sanctity_virtueP7
未嘗人事,Sanctity_virtueP7
貞女,Sanctity_virtueP7
豬,Sanctity_virtueP7
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
