Term,Parent
killing,care_viceP3
殺,care_viceP3
殺害,care_viceP3
殺人,care_viceP3
隊人,care_viceP3
隊冧,care_viceP3
fatal,care_viceP3
致命,care_viceP3
死咗,care_viceP3
死左,care_viceP3
命喪黃泉,care_viceP3
救唔番,care_viceP3
救吾番,care_viceP3
救唔翻,care_viceP3
救吾翻,care_viceP3
救唔到,care_viceP3
救吾到,care_viceP3
trapped,care_viceP3
困住,care_viceP3
受困,care_viceP3
被困,care_viceP3
穩住咗,care_viceP3
韞住咗,care_viceP3
enemies,care_viceP3
敵人,care_viceP3
仇人,care_viceP3
對手,care_viceP3
敵對方,care_viceP3
仇敵,care_viceP3
敵方,care_viceP3
敵軍,care_viceP3
dangerous,care_viceP3
危險,care_viceP3
高風險,care_viceP3
不安全,care_viceP3
有威脅,care_viceP3
gross,care_viceP3
令人不快的,care_viceP3
極其令人厭惡的,care_viceP3
令人噁心的,care_viceP3
不雅觀的,care_viceP3
核突,care_viceP3
嘔心,care_viceP3
boycott,care_viceP3
杯葛,care_viceP3
抵制,care_viceP3
拒絕購買 ,care_viceP3
罷買,care_viceP3
undermine,care_viceP3
削弱,care_viceP3
侵蝕,care_viceP3
損害,care_viceP3
lost,care_viceP3
遺失,care_viceP3
損失,care_viceP3
失去,care_viceP3
迷失,care_viceP3
迷路,care_viceP3
唔見咗,care_viceP3
唔見左,care_viceP3
蕩失路,care_viceP3
arrest,care_viceP3
逮捕,care_viceP3
拘捕,care_viceP3
拘留,care_viceP3
俾人拉咗,care_viceP3
俾人拉左,care_viceP3
cut,care_viceP3
剪,care_viceP3
切,care_viceP3
斬,care_viceP3
刪,care_viceP3
剪走,care_viceP3
剪下,care_viceP3
destroy,care_viceP3
accident,care_viceP3
意外,care_viceP3
事故,care_viceP3
突發事件 ,care_viceP3
意料之外,care_viceP3
cruel,care_viceP3
殘忍,care_viceP3
殘酷,care_viceP3
狠毒,care_viceP3
殘暴,care_viceP3
粗暴,care_viceP3
falling,care_viceP3
跌落,care_viceP3
墮落,care_viceP3
下墮 ,care_viceP3
掉落,care_viceP3
墮下,care_viceP3
墜落,care_viceP3
跌咗落嚟,care_viceP3
hacked,care_viceP3
被駭,care_viceP3
遭駭 ,care_viceP3
被入侵,care_viceP3
遭入侵 ,care_viceP3
被黑客入侵,care_viceP3
遭黑客入侵,care_viceP3
被駭客入侵 ,care_viceP3
遭駭客入侵,care_viceP3
破解,care_viceP3
destroyed,care_viceP3
毀壞了,care_viceP3
破壞了,care_viceP3
摧毀了 ,care_viceP3
毀滅了,care_viceP3
被摧毀,care_viceP3
被毀壞 ,care_viceP3
被破壞 ,care_viceP3
被毀滅,care_viceP3
fighting,care_viceP3
打交,care_viceP3
打鬥,care_viceP3
戰鬥,care_viceP3
搏鬥,care_viceP3
打架,care_viceP3
blind,care_viceP3
盲,care_viceP3
失明,care_viceP3
視障,care_viceP3
盲目,care_viceP3
看不見,care_viceP3
瞎,care_viceP3
不加思考的,care_viceP3
forced,care_viceP3
強迫,care_viceP3
逼迫,care_viceP3
強制,care_viceP3
強行,care_viceP3
迫使,care_viceP3
被逼,care_viceP3
牽強的,care_viceP3
threat,care_viceP3
威脅,care_viceP3
恐嚇,care_viceP3
嚇唬,care_viceP3
大你,care_viceP3
struck,care_viceP3
打中,care_viceP3
打擊,care_viceP3
擊打,care_viceP3
撞擊,care_viceP3
weapon,care_viceP3
武器,care_viceP3
兵器,care_viceP3
攻擊器械,care_viceP3
防衛器械,care_viceP3
防禦武器,care_viceP3
攻擊武,care_viceP3
架叉,care_viceP3
battles,care_viceP3
戰役,care_viceP3
戰爭,care_viceP3
交戰,care_viceP3
會戰,care_viceP3
threatening,care_viceP3
威嚇,care_viceP3
威迫,care_viceP3
要脅,care_viceP3
要挾,care_viceP3
anxiety,care_viceP3
焦慮,care_viceP3
憂慮,care_viceP3
不安,care_viceP3
擔心,care_viceP3
harassment,care_viceP3
騷擾,care_viceP3
violent,care_viceP3
暴力,care_viceP3
猛烈,care_viceP3
pain,care_viceP3
痛苦,care_viceP3
疼痛,care_viceP3
痛楚,care_viceP3
疼,care_viceP3
痛感,care_viceP3
痛,care_viceP3
fight,care_viceP3
kill,care_viceP3
弄死,care_viceP3
waste,care_viceP3
浪費,care_viceP3
糟蹋,care_viceP3
虛度,care_viceP3
虛耗,care_viceP3
嘥咗,care_viceP3
白費,care_viceP3
hell,care_viceP3
地獄,care_viceP3
conflict,care_viceP3
衝突,care_viceP3
爭執,care_viceP3
紛爭,care_viceP3
抵觸,care_viceP3
矛盾,care_viceP3
exposed,care_viceP3
暴露,care_viceP3
揭露,care_viceP3
透露,care_viceP3
公開,care_viceP3
洩漏,care_viceP3
abandon,care_viceP3
放棄,care_viceP3
摒棄,care_viceP3
bomb,care_viceP3
炸彈,care_viceP3
炸藥,care_viceP3
爆炸物,care_viceP3
爆裂品,care_viceP3
爆炸裝置,care_viceP3
problems,care_viceP3
疑慮,care_viceP3
問題 ,care_viceP3
煩惱,care_viceP3
murder,care_viceP3
謀殺,care_viceP3
殘殺,care_viceP3
凶殺,care_viceP3
grave,care_viceP3
墳墓,care_viceP3
墓地,care_viceP3
墓穴,care_viceP3
嚴重,care_viceP3
慘重,care_viceP3
重大,care_viceP3
嚴峻的,care_viceP3
prosecution,care_viceP3
檢控,care_viceP3
harm,care_viceP3
傷害,care_viceP3
毀壞 ,care_viceP3
陷害,care_viceP3
blamed,care_viceP3
受責備,care_viceP3
受譴責,care_viceP3
被批評,care_viceP3
受斥責,care_viceP3
被指責,care_viceP3
被怪責,care_viceP3
costly,care_viceP3
昂貴,care_viceP3
高價,care_viceP3
貴重,care_viceP3
價值高,care_viceP3
成本高 ,care_viceP3
gun,care_viceP3
槍,care_viceP3
火槍,care_viceP3
兵器 ,care_viceP3
炮,care_viceP3
damage,care_viceP3
損壞,care_viceP3
poverty,care_viceP3
貧窮,care_viceP3
貧困,care_viceP3
窮困,care_viceP3
貧苦,care_viceP3
窮困潦倒,care_viceP3
赤貧,care_viceP3
arguing,care_viceP3
爭吵,care_viceP3
辯論,care_viceP3
爭辯,care_viceP3
stop,care_viceP3
停止,care_viceP3
停下,care_viceP3
停頓,care_viceP3
