Term,Parent
effective,care_virtueP3
有效嘅,care_virtueP3
有效果,care_virtueP3
顯效,care_virtueP3
行之有效,care_virtueP3
有料到,care_virtueP3
有用,care_virtueP3
expand,care_virtueP3
擴展,care_virtueP3
擴充,care_virtueP3
擴大,care_virtueP3
擴張,care_virtueP3
拓展,care_virtueP3
擴闊,care_virtueP3
cleared,care_virtueP3
已處理,care_virtueP3
解決,care_virtueP3
已清除,care_virtueP3
special,care_virtueP3
特別,care_virtueP3
特殊,care_virtueP3
與眾不同,care_virtueP3
十分,care_virtueP3
非常,care_virtueP3
helping,care_virtueP3
幫助,care_virtueP3
援助,care_virtueP3
協助,care_virtueP3
幫手,care_virtueP3
hope,care_virtueP3
希望,care_virtueP3
盼望,care_virtueP3
希冀,care_virtueP3
saved,care_virtueP3
拯救,care_virtueP3
救援,care_virtueP3
解救,care_virtueP3
救助,care_virtueP3
inspired,care_virtueP3
啟發,care_virtueP3
激發,care_virtueP3
靈感,care_virtueP3
啟示,care_virtueP3
desire,care_virtueP3
渴望,care_virtueP3
慾望,care_virtueP3
追求,care_virtueP3
渴求,care_virtueP3
勁想要,care_virtueP3
pardon,care_virtueP3
原諒,care_virtueP3
寬恕,care_virtueP3
赦免,care_virtueP3
寬免,care_virtueP3
講多次,care_virtueP3
重複多次,care_virtueP3
intense,care_virtueP3
激烈,care_virtueP3
強烈,care_virtueP3
劇烈,care_virtueP3
緊張,care_virtueP3
極度,care_virtueP3
love,care_virtueP3
愛,care_virtueP3
愛情,care_virtueP3
愛戀,care_virtueP3
愛意,care_virtueP3
愛慕,care_virtueP3
情愛,care_virtueP3
戀愛,care_virtueP3
深愛,care_virtueP3
愛戴,care_virtueP3
promoting,care_virtueP3
推廣,care_virtueP3
宣傳,care_virtueP3
推介,care_virtueP3
促進,care_virtueP3
鼓勵,care_virtueP3
improving,care_virtueP3
改善,care_virtueP3
提升,care_virtueP3
改進,care_virtueP3
進步,care_virtueP3
改良,care_virtueP3
使...變得更好,care_virtueP3
defense,care_virtueP3
防禦,care_virtueP3
防衛,care_virtueP3
保衛,care_virtueP3
防護,care_virtueP3
防線,care_virtueP3
後衛,care_virtueP3
encourage,care_virtueP3
激勵,care_virtueP3
勉勵,care_virtueP3
促使,care_virtueP3
推動,care_virtueP3
助長,care_virtueP3
compassion,care_virtueP3
同情,care_virtueP3
憐憫,care_virtueP3
惻隱之心,care_virtueP3
respect,care_virtueP3
尊重,care_virtueP3
敬重,care_virtueP3
尊敬,care_virtueP3
重視（某些）,care_virtueP3
顧及,care_virtueP3
考慮,care_virtueP3
friendly,care_virtueP3
友好,care_virtueP3
和藹,care_virtueP3
親切,care_virtueP3
友善,care_virtueP3
和善,care_virtueP3
慈祥,care_virtueP3
讓人感到舒適或快樂,care_virtueP3
wish,care_virtueP3
期望,care_virtueP3
念頭,care_virtueP3
愿望,care_virtueP3
祝願,care_virtueP3
想要嘅,care_virtueP3
carefully,care_virtueP3
小心地,care_virtueP3
仔細地,care_virtueP3
細心,care_virtueP3
謹慎,care_virtueP3
周密,care_virtueP3
細密,care_virtueP3
慎重,care_virtueP3
小心翼翼,care_virtueP3
心思細膩,care_virtueP3
心思細密,care_virtueP3
help,care_virtueP3
助手,care_virtueP3
扶持,care_virtueP3
幫忙,care_virtueP3
緩解,care_virtueP3
nice,care_virtueP3
好,care_virtueP3
愉快,care_virtueP3
良好,care_virtueP3
