Term,parent
5一齊食飯,Family_Conflict_A
5出聲,Family_Conflict_A
5再講野,Family_Conflict_A
5返o黎,Family_Conflict_A
5返黎,Family_Conflict_A
5返嚟,Family_Conflict_A
5想同佢地講野,Family_Conflict_A
5想見到佢,Family_Conflict_A
5想望到佢,Family_Conflict_A
5想理佢,Family_Conflict_A
5想睬佢,Family_Conflict_A
5想對住佢,Family_Conflict_A
block左佢,Family_Conflict_A
del contact,Family_Conflict_A
del contacts,Family_Conflict_A
del 聯絡人,Family_Conflict_A
delete contact,Family_Conflict_A
delete contacts,Family_Conflict_A
delete 聯絡人,Family_Conflict_A
quit,Family_Conflict_A
quit gp,Family_Conflict_A
quit group,Family_Conflict_A
quit左佢,Family_Conflict_A
quit谷,Family_Conflict_A
互不理睬,Family_Conflict_A
冇野講,Family_Conflict_A
分開住,Family_Conflict_A
比面色我睇,Family_Conflict_A
比說話我聽,Family_Conflict_A
各自食飯,Family_Conflict_A
各行各路,Family_Conflict_A
同佢地冇野講,Family_Conflict_A
成個gp靜哂,Family_Conflict_A
成個group靜哂,Family_Conflict_A
吵大獲,Family_Conflict_A
吵大鑊,Family_Conflict_A
吵左獲甘,Family_Conflict_A
吵左獲金,Family_Conflict_A
吵左鑊甘,Family_Conflict_A
吵左鑊金,Family_Conflict_A
吾一齊食飯,Family_Conflict_A
吾出聲,Family_Conflict_A
吾再講野,Family_Conflict_A
吾返o黎,Family_Conflict_A
吾返黎,Family_Conflict_A
吾返嚟,Family_Conflict_A
吾想同佢地講野,Family_Conflict_A
吾想見到佢,Family_Conflict_A
吾想望到佢,Family_Conflict_A
吾想理佢,Family_Conflict_A
吾想睬佢,Family_Conflict_A
吾想對住佢,Family_Conflict_A
拍枱走人,Family_Conflict_A
炒大獲,Family_Conflict_A
炒大鑊,Family_Conflict_A
炒左獲甘,Family_Conflict_A
炒左獲金,Family_Conflict_A
炒左鑊甘,Family_Conflict_A
炒左鑊金,Family_Conflict_A
面左左,Family_Conflict_A
食飯靜哂,Family_Conflict_A
俾說話我聽,Family_Conflict_A
唔一齊食飯,Family_Conflict_A
唔再講野,Family_Conflict_A
唔返o黎,Family_Conflict_A
唔返黎,Family_Conflict_A
唔返嚟,Family_Conflict_A
唔想同佢地講野,Family_Conflict_A
唔想見到佢,Family_Conflict_A
唔想望到佢,Family_Conflict_A
唔想理佢,Family_Conflict_A
唔想睬佢,Family_Conflict_A
唔想對住佢,Family_Conflict_A
頂左幾句,Family_Conflict_A
頂撞,Family_Conflict_A
發爛渣,Family_Conflict_A
搬出去,Family_Conflict_A
搬走,Family_Conflict_A
當睇佢5到,Family_Conflict_A
當睇佢吾到,Family_Conflict_A
當睇佢唔到,Family_Conflict_A
盡量避開佢地,Family_Conflict_A
趕出門,Family_Conflict_A
趕我出去,Family_Conflict_A
鬧大交,Family_Conflict_A
離席,Family_Conflict_A
爆o西粗,Family_Conflict_A
爆哂粗,Family_Conflict_A
驚比人打,Family_Conflict_A
驚俾人打,Family_Conflict_A
