Term,Parent
大伯,Family_member_N
大姨,Family_member_N
公公,Family_member_N
夫家,Family_member_N
外父,Family_member_N
外母,Family_member_N
外家,Family_member_N
奶奶,Family_member_N
老公,Family_member_N
老公個妹,Family_member_N
老婆,Family_member_N
老爺,Family_member_N
伯父,Family_member_N
呀公,Family_member_N
呀叔,Family_member_N
呀妹,Family_member_N
呀姨,Family_member_N
呀哥,Family_member_N
呀嫂,Family_member_N
呀爺,Family_member_N
呀嫲,Family_member_N
弟婦,Family_member_N
我呀婆,Family_member_N
我亞婆,Family_member_N
我阿婆,Family_member_N
我婆婆,Family_member_N
亞公,Family_member_N
亞叔,Family_member_N
亞妹,Family_member_N
亞姨,Family_member_N
亞哥,Family_member_N
亞嫂,Family_member_N
亞爺,Family_member_N
亞嫲,Family_member_N
兩公婆,Family_member_N
叔叔,Family_member_N
妹夫,Family_member_N
妹妹,Family_member_N
姊夫,Family_member_N
姐夫,Family_member_N
姑仔,Family_member_N
姑姐,Family_member_N
岳父,Family_member_N
岳母,Family_member_N
表妹,Family_member_N
表姊,Family_member_N
表姐,Family_member_N
表哥,Family_member_N
阿公,Family_member_N
阿叔,Family_member_N
阿妹,Family_member_N
阿姨,Family_member_N
阿哥,Family_member_N
阿嫂,Family_member_N
阿爺,Family_member_N
阿嫲,Family_member_N
哥哥,Family_member_N
娘家,Family_member_N
家嫂,Family_member_N
婆婆,Family_member_N
細姨,Family_member_N
新抱,Family_member_N
爺爺,Family_member_N
舅父,Family_member_N
舅仔,Family_member_N
舅母,Family_member_N
舅舅,Family_member_N
嫲嫲,Family_member_N
