Term,Parent
2b,Word_Foul 
7撚,Word_Foul 
7頭,Word_Foul 
9 up,Word_Foul 
9up,Word_Foul 
ass,Word_Foul 
asshole,Word_Foul 
bitch,Word_Foul 
cls,Word_Foul 
Delay no more,Word_Foul 
diu,Word_Foul 
dklm,Word_Foul 
dllm,Word_Foul 
dllmch,Word_Foul 
dnlm,Word_Foul 
dnlmch,Word_Foul 
f9u,Word_Foul 
fcuk,Word_Foul 
fuck,Word_Foul 
fuck u bitch,Word_Foul 
fuck鳩you,Word_Foul 
funny mud pee,Word_Foul 
fuxk,Word_Foul 
fxck,Word_Foul 
fxxk,Word_Foul 
Greet you everyday,Word_Foul 
Hi Auntie,Word_Foul 
hi hi,Word_Foul 
hihi,Word_Foul 
Hihi仔,Word_Foul 
jer,Word_Foul 
jm9,Word_Foul 
nbsl,Word_Foul 
ni ma si le,Word_Foul 
nmsl,Word_Foul 
nmslese,Word_Foul 
on 9,Word_Foul 
on lun 77,Word_Foul 
On lun 79,Word_Foul 
on lun 9,Word_Foul 
on lun 99,Word_Foul 
on9,Word_Foul 
on99,Word_Foul 
on撚9,Word_Foul 
pk,Word_Foul 
POP街,Word_Foul 
sb,Word_Foul 
sub9,Word_Foul 
suck,Word_Foul 
tmd,Word_Foul 
wtf,Word_Foul 
yed me,Word_Foul 
Yo你,Word_Foul 
九兩菜,Word_Foul 
卜界,Word_Foul 
卜街,Word_Foul 
小你,Word_Foul 
小你老味,Word_Foul 
小李飛刀,Word_Foul 
中出,Word_Foul 
仆街,Word_Foul 
凸,Word_Foul 
凸你,Word_Foul 
尻,Word_Foul 
扑街,Word_Foul 
吊,Word_Foul 
吊你,Word_Foul 
向左走向右走,Word_Foul 
多鳩餘,Word_Foul 
多舊魚,Word_Foul 
好撚,Word_Foul 
好樣,Word_Foul 
成撚日,Word_Foul 
收皮,Word_Foul 
老母,Word_Foul 
你老母,Word_Foul 
你老味,Word_Foul 
你媽死了,Word_Foul 
含能,Word_Foul 
我頂你個肺！,Word_Foul 
把撚,Word_Foul 
杏加橙,Word_Foul 
岸撚鳩,Word_Foul 
狗噏,Word_Foul 
玩撚完,Word_Foul 
玩撚猿,Word_Foul 
哂鳩氣,Word_Foul 
契弟,Word_Foul 
屌,Word_Foul 
屌你,Word_Foul 
屌你全家,Word_Foul 
屌你老母臭閪,Word_Foul 
屌你老味,Word_Foul 
屌晒你全家,Word_Foul 
屌晒你地,Word_Foul 
屌撚,Word_Foul 
屌曬你全家,Word_Foul 
屌曬你地,Word_Foul 
挑那星,Word_Foul 
柒,Word_Foul 
柒頭,Word_Foul 
柒頭皮,Word_Foul 
胎教,Word_Foul 
笑撚死,Word_Foul 
能樣,Word_Foul 
臭化西,Word_Foul 
臭化閪,Word_Foul 
臭西,Word_Foul 
臭爛袋,Word_Foul 
笨七,Word_Foul 
笨柒,Word_Foul 
陷家,Word_Foul 
陷家剷,Word_Foul 
麻鳩煩,Word_Foul 
硬膠,Word_Foul 
閖,Word_Foul 
傻西,Word_Foul 
傻逼,Word_Foul 
愚孝撚,Word_Foul 
痴L線,Word_Foul 
痴撚線,Word_Foul 
鳩,Word_Foul 
鳩柒西,Word_Foul 
鳩諗,Word_Foul 
賓周,Word_Foul 
閪,Word_Foul 
閪面,Word_Foul 
廢嗡,Word_Foul 
摩西,Word_Foul 
撚,Word_Foul 
撚左,Word_Foul 
撚屌鳩,Word_Foul 
撚樣,Word_Foul 
撩尻,Word_Foul 
膠人,Word_Foul 
衝出黎柒,Word_Foul 
器官,Word_Foul 
操你媽,Word_Foul 
雕娜馬,Word_Foul 
濕鳩,Word_Foul 
關你撚事,Word_Foul 
蠢撚過隻豬,Word_Foul 
戇尻,Word_Foul 
戇尻尻,Word_Foul 
戇鳩,Word_Foul 
戇鳩鳩,Word_Foul 
