Term,Parent
liked,loyalty_virtueP3
喜歡,loyalty_virtueP3
鍾意,loyalty_virtueP3
中意,loyalty_virtueP3
喜愛,loyalty_virtueP3
鍾情,loyalty_virtueP3
successor,loyalty_virtueP3
繼承人,loyalty_virtueP3
接班人,loyalty_virtueP3
繼任者,loyalty_virtueP3
繼承者,loyalty_virtueP3
接手人,loyalty_virtueP3
agreement,loyalty_virtueP3
協議,loyalty_virtueP3
同意書,loyalty_virtueP3
授權書,loyalty_virtueP3
協約,loyalty_virtueP3
協同,loyalty_virtueP3
playing,loyalty_virtueP3
玩耍,loyalty_virtueP3
玩樂,loyalty_virtueP3
玩,loyalty_virtueP3
挽,loyalty_virtueP3
gain,loyalty_virtueP3
獲得,loyalty_virtueP3
獲益,loyalty_virtueP3
取得,loyalty_virtueP3
增進,loyalty_virtueP3
得著,loyalty_virtueP3
passionate,loyalty_virtueP3
熱情,loyalty_virtueP3
熱愛,loyalty_virtueP3
狂熱,loyalty_virtueP3
熱心,loyalty_virtueP3
熱情洋溢 ,loyalty_virtueP3
情緒激昂的,loyalty_virtueP3
support,loyalty_virtueP3
撐場,loyalty_virtueP3
捧場,loyalty_virtueP3
撐,loyalty_virtueP3
outstanding,loyalty_virtueP3
傑出,loyalty_virtueP3
出眾,loyalty_virtueP3
優秀,loyalty_virtueP3
突出,loyalty_virtueP3
鶴立雞群,loyalty_virtueP3
出色,loyalty_virtueP3
committed,loyalty_virtueP3
盡心盡力,loyalty_virtueP3
有責任感,loyalty_virtueP3
堅定,loyalty_virtueP3
盡忠職守,loyalty_virtueP3
應承咗,loyalty_virtueP3
praised,loyalty_virtueP3
讚揚,loyalty_virtueP3
稱讚,loyalty_virtueP3
表揚,loyalty_virtueP3
讚美,loyalty_virtueP3
讚賞,loyalty_virtueP3
讚許,loyalty_virtueP3
讚譽,loyalty_virtueP3
讚,loyalty_virtueP3
歌頌,loyalty_virtueP3
advanced,loyalty_virtueP3
先進,loyalty_virtueP3
高級,loyalty_virtueP3
進階,loyalty_virtueP3
高等,loyalty_virtueP3
pride,loyalty_virtueP3
自豪,loyalty_virtueP3
自尊,loyalty_virtueP3
使得意,loyalty_virtueP3
滿意,loyalty_virtueP3
rich,loyalty_virtueP3
富有,loyalty_virtueP3
有錢,loyalty_virtueP3
富貴,loyalty_virtueP3
富裕,loyalty_virtueP3
有米,loyalty_virtueP3
important,loyalty_virtueP3
重要,loyalty_virtueP3
關鍵,loyalty_virtueP3
要緊,loyalty_virtueP3
