Term,parent
N茅,negation
N無,negation
stop la,negation
一d都冇,negation
一D都吾,negation
一d都茅,negation
一D都唔,negation
一d都無,negation
一定吾會,negation
一定唔會,negation
一啲都冇,negation
一啲都吾,negation
一啲都茅,negation
一啲都唔,negation
一啲都無,negation
一無,negation
千企吾好,negation
千企唔好,negation
千奇吾好,negation
千奇唔好,negation
不,negation
不丁點兒,negation
不大,negation
不可以,negation
不必,negation
不必要,negation
不用,negation
不怎麼,negation
不怎樣,negation
不是,negation
不甚,negation
不要,negation
不能,negation
不曾,negation
不會,negation
不該,negation
冇,negation
冇必要,negation
冇咩wor,negation
冇咩野,negation
冇咩喎,negation
冇咩點,negation
冇野,negation
冇需要,negation
切莫,negation
勿,negation
反,negation
少少都冇,negation
少少都茅,negation
少少都無,negation
木有,negation
毋,negation
弗,negation
未,negation
未有,negation
未曾,negation
未試過有,negation
未嘗,negation
永不,negation
永遠都吾會,negation
永遠都唔會,negation
仲未有,negation
休想,negation
好少,negation
#N/A,negation
別,negation
否,negation
吾,negation
吾大,negation
吾可以,negation
吾用,negation
吾好,negation
吾系,negation
吾使,negation
吾典,negation
吾典樣,negation
吾到,negation
吾係,negation
吾洗,negation
吾要,negation
吾單止,negation
吾會,negation
吾需要,negation
吾駛,negation
吾應該,negation
吾點,negation
吾點樣,negation
完全冇,negation
完全無,negation
忌,negation
杜絕,negation
決不,negation
沒,negation
沒事,negation
沒怎麼,negation
並冇,negation
並未,negation
並吾係,negation
並非,negation
並茅,negation
並唔係,negation
並無,negation
典吾會,negation
典唔會,negation
典樣吾會,negation
典樣唔會,negation
尚無,negation
放下,negation
非,negation
咩都冇,negation
很少,negation
怎麼不,negation
甭,negation
茅,negation
茅必要,negation
茅咩wor,negation
茅咩野,negation
茅咩喎,negation
茅咩點,negation
茅野,negation
茅需要,negation
唔,negation
唔大,negation
唔可以,negation
唔用,negation
唔系,negation
唔使,negation
唔典,negation
唔典樣,negation
唔到,negation
唔係,negation
唔洗,negation
唔要,negation
唔單止,negation
唔會,negation
唔需要,negation
唔駛,negation
唔應該,negation
唔點,negation
唔點樣,negation
停,negation
停拉,negation
停啦,negation
從不,negation
從未,negation
從未有過,negation
從沒,negation
從來不,negation
從來冇,negation
從來茅,negation
從來都冇,negation
從來都未,negation
從來都茅,negation
從來都無,negation
從來無,negation
毫不,negation
毫無,negation
幾乎不,negation
幾乎吾會,negation
幾乎唔會,negation
無,negation
無必要,negation
無咩wor,negation
無咩野,negation
無咩喎,negation
無咩點,negation
無野,negation
無須,negation
無需要,negation
絕不,negation
絕非,negation
絕對吾,negation
絕對吾好,negation
絕對吾係,negation
絕對吾會,negation
絕對唔,negation
絕對唔好,negation
絕對唔係,negation
絕對唔會,negation
極少,negation
遠非,negation
請勿,negation
諗下就好,negation
點吾會,negation
點唔會,negation
點樣吾會,negation
點樣唔會,negation
