Term,parent
子女,Family_member_C
子囡,Family_member_C
仔女,Family_member_C
仔仔,Family_member_C
仔囡,Family_member_C
囡,Family_member_C
老豆,Family_member_C
呀女,Family_member_C
呀仔,Family_member_C
呀囡,Family_member_C
呀爸,Family_member_C
呀媽,Family_member_C
我個女,Family_member_C
我個仔,Family_member_C
我個囡,Family_member_C
亞女,Family_member_C
亞仔,Family_member_C
亞囡,Family_member_C
亞爸,Family_member_C
亞媽,Family_member_C
兩老,Family_member_C
爸爸,Family_member_C
阿女,Family_member_C
阿仔,Family_member_C
阿囡,Family_member_C
阿爸,Family_member_C
阿媽,Family_member_C
媽媽,Family_member_C
