Term,parent
淋病,gov_ceo
黨鐵,mtr
手足,people_yellow_human1
勇武,people_yellow_human2
勇武派,people_yellow_human3
黑警,police_black
黑驚,police_black
黑警死全家,police_black2
警恐,Police_demon
Anti Extradition,antiELAB
antiELAB,antiELAB
No China Extradition,antiELAB
No Extradition To China,antiELAB
NoChinaExtradition,antiELAB
NoExtraditionToChina,antiELAB
反修例,antiELAB
反送中,antiELAB
反送中運動,antiELAB
引渡逃犯,antiELAB
引渡條例,antiELAB
引渡惡法,antiELAB
抗恶法,antiELAB
抗惡法,antiELAB
返送中,antiELAB
ExtraditionLaw,ELAB
送中条例,ELAB
送中條例,ELAB
逃犯引渡條例,ELAB
逃犯條例,ELAB
HK集會,protest_assembly
遍地開花,protest_behavior
人鏈,protest_behavior_chain
去發夢,protest_behavior_dream
發完夢,protest_behavior_dream
發夢,protest_behavior_dream
發緊夢,protest_behavior_dream
雷射筆,protest_behavior_pen
白宮聯署,protest_behavior_white
攬炒,protest_destruction
分化撚,protest_differentiator
Hong Kong Protest,protest_HK
HK遊行,protest_march
大遊行,protest_march
香港遊行,protest_march
唱榮光,protest_music
榮光,protest_music
願榮光歸香港,protest_music
時代革命,protest_revolution
不分化,protest_solidarity
不割席,protest_solidarity
不篤灰,protest_solidarity
兄弟爬山,protest_solidarity
612 strike,protest_strike
HK strike,protest_strike
HK罢工,protest_strike
HK罷工,protest_strike
三罷,protest_strike
香港罢工,protest_strike
香港罷工,protest_strike
罢工,protest_strike
我冇野講,silence
我冇嘢講,silence
我無野講,silence
香港人加油,slogan_addoil
香港加油,slogan_addoil
暴政,slogan_antigov
 If I burn you burn with us,slogan_burn
if we burn you burn with us,slogan_burn
freeHongKong,slogan_freeHK
割席,slogan_negative
篤灰,slogan_negative
撐香港,slogan_supportHK
階段性勝利,slogan_win
be water,water_be
water revolution,water_revolution
水革命,water_revolution
和你eat,withyou
和你lunch,withyou
和你飛,withyou
和你塞,withyou
行政長官林鄭月娥辭職下臺,Word_7_demands_gov
林郑下台,Word_7_demands_gov
林鄭下台,Word_7_demands_gov
改組或解散警隊,Word_7_demands_police
獨立委員會,Word_Committee
獨立調查委員會,Word_Committee
5 demand,Word_five_demands
5 demands,Word_five_demands
5大訴求,Word_five_demands
five demand,Word_five_demands
five demands,Word_five_demands
no 1 less,Word_five_demands
no one less,Word_five_demands
not 1 less,Word_five_demands
not one less,Word_five_demands
五大訴求,Word_five_demands
五大訴球,Word_five_demands
缺1不可,Word_five_demands
缺一不可,Word_five_demands
Withdrawal of fugitive offender,Word_five_demands_con
立即實行真雙普選,Word_five_demands_con
全面撤回逃犯條例修訂草案,Word_five_demands_con
成立獨立委員會,Word_five_demands_con
成立獨立調查委員會,Word_five_demands_con
撤回逃犯条例,Word_five_demands_con
撤回逃犯條例,Word_five_demands_con
撤回暴動定性,Word_five_demands_con
撤銷所有反送中示威者控罪,Word_five_demands_con
壽終正寢,Word_gov_announcement
撤回,Word_gov_announcement2
失控警,Word_Police
白警,Word_Police
休班警,Word_Police
光頭Sir,Word_Police
防暴,Word_Police
防暴警,Word_Police
委任證,Word_Police
政總,Word_Police
新屋領,Word_Police
鄧炳強,Word_Police
警員,Word_Police
警察,Word_Police
警監,Word_Police
驚察,Word_Police
反共經濟圈,Word_protest_econ
黃色經濟圈,Word_protest_econ
黃色經濟,Word_protest_econ
黃店,Word_protest_econ
香港獨立,Word_Protest_independ
港獨,Word_Protest_independ
講獨,Word_Protest_independ
林月鄭娥,gov_ceo
林郑月娥,gov_ceo
林鄭,gov_ceo
林鄭月娥,gov_ceo
藍c,people_blue
藍絲,people_blue
黃c,people_yellow
黃絲,people_yellow
和理非,people_yellow2
和理非非,people_yellow2
