Term,Parent
enemy,sanctity_viceP3
struggled,sanctity_viceP3
掙扎,sanctity_viceP3
擺脫困境,sanctity_viceP3
艱辛,sanctity_viceP3
爭取,sanctity_viceP3
奮鬥,sanctity_viceP3
distrust,sanctity_viceP3
不信任,sanctity_viceP3
懷疑,sanctity_viceP3
不相信,sanctity_viceP3
猜忌,sanctity_viceP3
對...有疑心,sanctity_viceP3
唔信,sanctity_viceP3
racism,sanctity_viceP3
種族主義,sanctity_viceP3
種族歧視,sanctity_viceP3
種族偏見,sanctity_viceP3
種族迫害,sanctity_viceP3
hates,sanctity_viceP3
憎恨,sanctity_viceP3
厭惡,sanctity_viceP3
討厭,sanctity_viceP3
痛恨,sanctity_viceP3
憎惡,sanctity_viceP3
憎,sanctity_viceP3
bloody,sanctity_viceP3
血腥,sanctity_viceP3
血淋淋,sanctity_viceP3
流血的,sanctity_viceP3
沾滿血的,sanctity_viceP3
damaged,sanctity_viceP3
受損壞,sanctity_viceP3
破損,sanctity_viceP3
受損,sanctity_viceP3
受損壞 ,sanctity_viceP3
整爛咗,sanctity_viceP3
crazy,sanctity_viceP3
瘋狂,sanctity_viceP3
瘋癲,sanctity_viceP3
熱衷,sanctity_viceP3
瘋,sanctity_viceP3
disaster,sanctity_viceP3
災難,sanctity_viceP3
災害,sanctity_viceP3
災禍,sanctity_viceP3
禍患,sanctity_viceP3
mistake,sanctity_viceP3
錯誤,sanctity_viceP3
失誤,sanctity_viceP3
搞錯,sanctity_viceP3
出錯,sanctity_viceP3
過失,sanctity_viceP3
conflicts,sanctity_viceP3
爭議,sanctity_viceP3
對立,sanctity_viceP3
分歧,sanctity_viceP3
爭論,sanctity_viceP3
isolated,sanctity_viceP3
孤立,sanctity_viceP3
孤單,sanctity_viceP3
隔絕,sanctity_viceP3
孤獨,sanctity_viceP3
孤僻,sanctity_viceP3
孤寂,sanctity_viceP3
與世隔絕,sanctity_viceP3
losing,sanctity_viceP3
輸 ,sanctity_viceP3
敗北,sanctity_viceP3
evil,sanctity_viceP3
道德敗壞的,sanctity_viceP3
惡毒的,sanctity_viceP3
討厭的,sanctity_viceP3
exploit,sanctity_viceP3
剝削,sanctity_viceP3
開發,sanctity_viceP3
利用,sanctity_viceP3
剝削嘅,sanctity_viceP3
開發嘅,sanctity_viceP3
利用嘅,sanctity_viceP3
濫用嘅,sanctity_viceP3
發揮,sanctity_viceP3
stress,sanctity_viceP3
壓力,sanctity_viceP3
壓逼,sanctity_viceP3
壓迫,sanctity_viceP3
壓抑,sanctity_viceP3
造成緊張的因素,sanctity_viceP3
應力,sanctity_viceP3
強調,sanctity_viceP3
著重,sanctity_viceP3
trouble,sanctity_viceP3
困擾 ,sanctity_viceP3
險境,sanctity_viceP3
窘境,sanctity_viceP3
缺點,sanctity_viceP3
缺陷,sanctity_viceP3
故障,sanctity_viceP3
毛病,sanctity_viceP3
不便,sanctity_viceP3
criminals,sanctity_viceP3
犯罪份子,sanctity_viceP3
涉及犯罪的,sanctity_viceP3
terrible,sanctity_viceP3
嚇人,sanctity_viceP3
糟透,sanctity_viceP3
可憎,sanctity_viceP3
可恥,sanctity_viceP3
嚴重的,sanctity_viceP3
低劣的,sanctity_viceP3
蹩腳的,sanctity_viceP3
denying,sanctity_viceP3
拒絕 ,sanctity_viceP3
反駁,sanctity_viceP3
剝奪,sanctity_viceP3
拒絕承擔,sanctity_viceP3
feared,sanctity_viceP3
令人恐懼,sanctity_viceP3
受畏,sanctity_viceP3
敬畏,sanctity_viceP3
raping,sanctity_viceP3
性侵犯,sanctity_viceP3
強奪,sanctity_viceP3
洗劫,sanctity_viceP3
fears,sanctity_viceP3
擔憂 ,sanctity_viceP3
恐慌 ,sanctity_viceP3
惶恐,sanctity_viceP3
恐懼感,sanctity_viceP3
