Term,Parent
fit,sanctity_virtueP3
合適,sanctity_virtueP3
適合,sanctity_virtueP3
合意,sanctity_virtueP3
符合,sanctity_virtueP3
啱,sanctity_virtueP3
身材好,sanctity_virtueP3
strengthening,sanctity_virtueP3
加強,sanctity_virtueP3
強化,sanctity_virtueP3
增強,sanctity_virtueP3
鞏固,sanctity_virtueP3
respected,sanctity_virtueP3
尊敬的,sanctity_virtueP3
受尊敬嘅,sanctity_virtueP3
受敬重嘅,sanctity_virtueP3
受尊重嘅,sanctity_virtueP3
被尊重嘅,sanctity_virtueP3
被尊敬嘅,sanctity_virtueP3
celebrating,sanctity_virtueP3
歡慶 ,sanctity_virtueP3
慶祝緊 ,sanctity_virtueP3
慶祝中,sanctity_virtueP3
resolved,sanctity_virtueP3
決斷,sanctity_virtueP3
決意,sanctity_virtueP3
下定決心的,sanctity_virtueP3
堅定的,sanctity_virtueP3
堅決的,sanctity_virtueP3
brave,sanctity_virtueP3
勇敢,sanctity_virtueP3
英勇,sanctity_virtueP3
勇敢面對,sanctity_virtueP3
無畏,sanctity_virtueP3
有勇氣的,sanctity_virtueP3
escape,sanctity_virtueP3
逃脫,sanctity_virtueP3
逃走,sanctity_virtueP3
逃離,sanctity_virtueP3
逃出,sanctity_virtueP3
逃避,sanctity_virtueP3
逃跑,sanctity_virtueP3
innocent,sanctity_virtueP3
無辜,sanctity_virtueP3
清白,sanctity_virtueP3
無罪,sanctity_virtueP3
純潔,sanctity_virtueP3
天真,sanctity_virtueP3
單純,sanctity_virtueP3
values,sanctity_virtueP3
價值觀,sanctity_virtueP3
道德觀,sanctity_virtueP3
信念,sanctity_virtueP3
準則,sanctity_virtueP3
意義,sanctity_virtueP3
faith,sanctity_virtueP3
信仰,sanctity_virtueP3
信心,sanctity_virtueP3
信任,sanctity_virtueP3
堅定信心,sanctity_virtueP3
eager,sanctity_virtueP3
渴望的,sanctity_virtueP3
熱切的,sanctity_virtueP3
急切的,sanctity_virtueP3
渴求的,sanctity_virtueP3
強烈的,sanctity_virtueP3
激動的,sanctity_virtueP3
spirit,sanctity_virtueP3
精神,sanctity_virtueP3
靈魂,sanctity_virtueP3
心靈,sanctity_virtueP3
魂魄,sanctity_virtueP3
氣魄,sanctity_virtueP3
意念,sanctity_virtueP3
活力,sanctity_virtueP3
clean,sanctity_virtueP3
乾淨,sanctity_virtueP3
清潔,sanctity_virtueP3
整潔,sanctity_virtueP3
衛生,sanctity_virtueP3
潔凈,sanctity_virtueP3
誠實,sanctity_virtueP3
公正,sanctity_virtueP3
光明正大,sanctity_virtueP3
strength,sanctity_virtueP3
力量,sanctity_virtueP3
實力,sanctity_virtueP3
能力,sanctity_virtueP3
勢力,sanctity_virtueP3
威力,sanctity_virtueP3
影響力,sanctity_virtueP3
力氣,sanctity_virtueP3
vision,sanctity_virtueP3
願景,sanctity_virtueP3
視野,sanctity_virtueP3
眼光,sanctity_virtueP3
觀念,sanctity_virtueP3
理念,sanctity_virtueP3
幻景,sanctity_virtueP3
justified,sanctity_virtueP3
合理的,sanctity_virtueP3
有理由的,sanctity_virtueP3
正當的,sanctity_virtueP3
有理據的,sanctity_virtueP3
合乎情理的,sanctity_virtueP3
合情合理的,sanctity_virtueP3
有正當理由的,sanctity_virtueP3
promote,sanctity_virtueP3
truly,sanctity_virtueP3
真正,sanctity_virtueP3
真的,sanctity_virtueP3
確切,sanctity_virtueP3
如實地,sanctity_virtueP3
真地,sanctity_virtueP3
真心地,sanctity_virtueP3
真誠地,sanctity_virtueP3
衷心地,sanctity_virtueP3
acceptable,sanctity_virtueP3
可接受,sanctity_virtueP3
可容許,sanctity_virtueP3
可接納 ,sanctity_virtueP3
令人滿意的,sanctity_virtueP3
可忍受的,sanctity_virtueP3
承受得住的,sanctity_virtueP3
差強人意的,sanctity_virtueP3
praise,sanctity_virtueP3
讚美 ,sanctity_virtueP3
shared,sanctity_virtueP3
共用,sanctity_virtueP3
一齊用,sanctity_virtueP3
vital,sanctity_virtueP3
必不可少,sanctity_virtueP3
不可或缺,sanctity_virtueP3
必不可少的,sanctity_virtueP3
極其重要的,sanctity_virtueP3
 生機勃勃的,sanctity_virtueP3
 生氣勃勃的,sanctity_virtueP3
truth,sanctity_virtueP3
真相,sanctity_virtueP3
真話,sanctity_virtueP3
真理,sanctity_virtueP3
真嘅,sanctity_virtueP3
真相 ,sanctity_virtueP3
certain,sanctity_virtueP3
某些 ,sanctity_virtueP3
無疑的,sanctity_virtueP3
grace,sanctity_virtueP3
優美,sanctity_virtueP3
優雅,sanctity_virtueP3
恩典 ,sanctity_virtueP3
恩惠,sanctity_virtueP3
恩賜,sanctity_virtueP3
風度,sanctity_virtueP3
hoping,sanctity_virtueP3
期待 ,sanctity_virtueP3
effectively,sanctity_virtueP3
有效地,sanctity_virtueP3
有力地 ,sanctity_virtueP3
成效地,sanctity_virtueP3
實際上,sanctity_virtueP3
生效地,sanctity_virtueP3
dream,sanctity_virtueP3
夢,sanctity_virtueP3
夢想,sanctity_virtueP3
夢見,sanctity_virtueP3
幻想,sanctity_virtueP3
空想,sanctity_virtueP3
想像,sanctity_virtueP3
commitments,sanctity_virtueP3
付出,sanctity_virtueP3
責任,sanctity_virtueP3
protected,sanctity_virtueP3
受保護,sanctity_virtueP3
保障 ,sanctity_virtueP3
使免受,sanctity_virtueP3
dignity,sanctity_virtueP3
尊嚴 ,sanctity_virtueP3
尊貴,sanctity_virtueP3
莊嚴,sanctity_virtueP3
高尚,sanctity_virtueP3
高貴,sanctity_virtueP3
顯赫,sanctity_virtueP3
virtues,sanctity_virtueP3
美德,sanctity_virtueP3
善行,sanctity_virtueP3
品行,sanctity_virtueP3
高尚品德,sanctity_virtueP3
tolerance,sanctity_virtueP3
容忍,sanctity_virtueP3
忍讓,sanctity_virtueP3
engaged,sanctity_virtueP3
忙碌,sanctity_virtueP3
繁忙,sanctity_virtueP3
忙碌不堪,sanctity_virtueP3
忙於,sanctity_virtueP3
捲入,sanctity_virtueP3
忙的,sanctity_virtueP3
healthy,sanctity_virtueP3
健康,sanctity_virtueP3
身體良好,sanctity_virtueP3
精力充沛,sanctity_virtueP3
強壯的,sanctity_virtueP3
健壯的,sanctity_virtueP3
有益健康的,sanctity_virtueP3
興旺發達的,sanctity_virtueP3
valuable,sanctity_virtueP3
寶貴的,sanctity_virtueP3
有意義,sanctity_virtueP3
珍稀,sanctity_virtueP3
罕有,sanctity_virtueP3
珍重,sanctity_virtueP3
值錢的,sanctity_virtueP3
貴重的,sanctity_virtueP3
重要的,sanctity_virtueP3
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
