Term,parent
抗暴,violence_anti
打狗,violence_dog
裝備,violence_gear
打記者,violence_media
警暴,violence_police
射眼,violence_police
濫捕,violence_police
tear gas,violence_police_arm1
tg gas,violence_police_arm1
催淚煙,violence_police_arm1
催淚彈,violence_police_arm1
水炮車,violence_police_arm2
水砲車,violence_police_arm2
布袋彈,violence_police_arm3
胡椒噴霧,violence_police_arm4
噴椒,violence_police_arm4
海綿彈,violence_police_arm5
橡膠子彈,violence_police_arm5
橡膠彈,violence_police_arm5
紅旗,violence_police_arm6
黑旗,violence_police_arm6
橙旗,violence_police_arm6
藍旗,violence_police_arm6
實彈,violence_police_arm7
警棍,violence_police_arm8
警棍圍毆,violence_police_arm8
防暴盾,violence_police_arm9
警盾,violence_police_arm9
警察打人,violence_police_hit
撞人群,violence_police_hit2
車人群,violence_police_hit3
槍殺,violence_police_kill
開槍,violence_police_shoot
槍擊,violence_police_shoot
強闖私人地方,violence_police2
驅散,violence_police2
驅散人群,violence_police2
驅趕,violence_police2
驅趕人群,violence_police2
驅趕抗爭者,violence_police2
汽油彈,violence_protest_arm1
煙餅,violence_protest_arm2
煙霧餅,violence_protest_arm2
碇石,violence_protest_arm3
碇磚,violence_protest_arm3
鐵通,violence_protest_arm4
丫叉,violence_protest_arm5
膠管,violence_protest_arm6
籐條,violence_protest_arm7
裝修,violence_protest_decor
裝飾,violence_protest_decor
火魔,violence_protest_fire
火攻,violence_protest_fire
火燒,violence_protest_fire
私刑,violence_protest_priva1
私了,violence_protest_priva2
獅鳥,violence_protest_priva3
鶳,violence_protest_priva4
蟲系師,violence_protestor1
蟲師,violence_protestor1
魔法師,violence_protestor2
打爆玻璃,violence_shop
打爆食肆,violence_shop
打爆商店,violence_shop
打爆銀行,violence_shop
打爆餐廳,violence_shop
打爛玻璃,violence_shop
打爛食肆,violence_shop
打爛商店,violence_shop
打爛銀行,violence_shop
打爛餐廳,violence_shop
破壞玻璃,violence_shop
破壞食肆,violence_shop
破壞商店,violence_shop
破壞銀行,violence_shop
破壞餐廳,violence_shop
打爆藍店,violence_shop_blue
打爛藍店,violence_shop_blue
破壞藍店,violence_shop_blue
打爆黃店,violence_shop_yellow
打爛黃店,violence_shop_yellow
破壞黃店,violence_shop_yellow
恐怖分子,violence_terrorism
恐怖主義,violence_terrorism
恐怖份子,violence_terrorism
恐怖襲擊,violence_terrorism
叉頸,violence1
打人,violence2
打爆,violence3
暴力,violence4
衝擊,violence5
爆炸,violence6
襲擊,violence7
黑衣人,protestor_anti
暴徒,protestor_anti
暴動,violence_gov_slogan
騷動,violence_gov_slogan
騷亂,violence_gov_slogan
