Term,parent
不斷工作,Coping
狂做野,Coping
唔停咁做野,Coping
不停咁做野,Coping
無間斷工作,Coping
麻醉,Coping
麻醉自己,Coping
幻想,Coping
食藥,Coping
安眠藥,Coping
propranolol,Coping
 nalion,Coping
take野,Coping
啪丸,Coping
飲酒,Coping
劈酒,Coping
隊酒,Coping
灌酒,Coping
食煙,Coping
Smoke,Coping
weed,Coping
stoned,Coping
隊草,Coping
大麻,Coping
隊野,Coping
啪野,Coping
食糖,Coping
咩都唔做,Coping
Whatever la,Coping
逃避,Coping
一了了之,Coping
拒絕相信,Coping
唔想接受事實,Coping
用酒麻醉自己,Coping
鬧自己,Coping
批評自己,Coping
眼光光,Coping
呆下呆下,Coping
放空,Coping
專注其他地方,Coping
洗錢,Coping
fing錢,Coping
大出血,Coping
碌卡,Coping
打機,Coping
打lol,Coping
看電影,Coping
睇戲,Coping
睇書,Coping
閱讀,Coping
購物,Coping
Shopping,Coping
淘,Coping
淘寶,Coping
性愛,Coping
屌閪,Coping
搞野,Coping
仆野,Coping
做愛,Coping
屌西,Coping
呃蝦條,Coping
敦倫,Coping
活塞運動,Coping
啪啪,Coping
啪啪啪,Coping
卜野,Coping
sp,Coping
扑野,Coping
 看動畫,Coping
睇動畫,Coping
看電視,Coping
睇電視,Coping
煲劇,Coping
睇卡通,Coping
食嘢,Coping
暴飲暴食,Coping
狂食零食,Coping
聽歌,Coping
曬太陽,Coping
照燈,Coping
做運動,Coping
慢跑,Coping
有氧運動,Coping
 游泳,Coping
跳繩,Coping
呼拉圈,Coping
踏單車,Coping
健美操,Coping
瑜珈,Coping
行山,Coping
do exercise,Coping
yoga,Coping
做exercise,Coping
瞓覺,Coping
訓教,Coping
睡覺,Coping
訓覺,Coping
重複做無意思既野,Coping
強迫症,Coping
自慰,Coping
打丁,Coping
打J,Coping
打飛機,Coping
睇av,Coping
打手槍,Coping
怪責自己,Coping
專注努力,Coping
圍爐,Coping
實際行動,Coping
搵人傾訴,Coping
吹下水,Coping
講出黎,Coping
呻,Coping
講粗口,Coping
爆粗,Coping
請教他人,Coping
問下人,Coping
問人意見,Coping
換個角度,Coping
換框架,Coping
think difference,Coping
想辦法解決問題,Coping
諗方法解決問題,Coping
諗計解決問題,Coping
對話,Coping
傾計,Coping
說出來,Coping
傾心事,Coping
講心事,Coping
講野,Coping
吐苦水,Coping
擤,Coping
尋找正面的東西,Coping
尋找正面的野,Coping
自嘲,Coping
自己笑自己,Coping
面對問題,Coping
直視,Coping
正視,Coping
放負,Coping
睇人放負,Coping
搵人放負,Coping
負,Coping
番教會,Coping
宗教,Coping
見醫生,Coping
見社工,Coping
見心理醫生,Coping
睇醫生,Coping
睇心理醫生,Coping
睇心理學家,Coping
搵人地幫,Coping
學習與問題共存,Coping
摸著石頭行路,Coping
祈禱,Coping
沉思,Coping
嘲笑現況,Coping
自我控制,Coping
讚賞自已,Coping
自己讚自己,Coping
食安眠藥改善失眠,Coping
食安眠藥,Coping
食安眠藥先訓到,Coping
食安眠藥先訓倒,Coping
食安眠藥先瞓到,Coping
食安眠藥先瞓倒,Coping
食安眠藥先訓,Coping
食安眠藥先瞓,Coping
要食藥先訓到,Coping
要食藥先訓倒,Coping
要食藥先瞓到,Coping
要食藥先瞓倒,Coping
食藥先訓到,Coping
食藥先訓倒,Coping
食藥先瞓到,Coping
食藥先瞓倒,Coping
要食安眠藥,Coping
飲酒改善失眠,Coping
飲酒醫失眠,Coping
飲酒克服失眠,Coping
訓之前飲酒,Coping
瞓之前飲酒,Coping
訓覺前飲酒,Coping
瞓覺前飲酒,Coping
訓教前飲酒,Coping
瞓教前飲酒,Coping
訓前飲酒,Coping
