Term,parent
藍屍,dehuman_blue
林奠,dehuman_gov
淋奠,dehuman_gov
9鐵,dehuman_mtr
狗鐵,dehuman_mtr
popo,dehuman_police
見到狗,dehuman_police
見到班狗,dehuman_police
防暴狗,dehuman_police
班狗,dehuman_police
遇到狗,dehuman_police
遇到班狗,dehuman_police
鄧曱甴,dehuman_police
警9,dehuman_police
警犬,dehuman_police
警曱,dehuman_police
警由,dehuman_police
警甲,dehuman_police
警甴,dehuman_police
驚犬,dehuman_police
9總,dehuman_police2
狗總,dehuman_police2
曱由,dehuman_protestor
曱甴,dehuman_protestor
甲由,dehuman_protestor
甲甴,dehuman_protestor
黃屍,dehuman_yellow
