Term,parent
5服從命令,MF_Authority
5聽話,MF_Authority
authority,MF_Authority
dominant,MF_Authority
power,MF_Authority
大哂,MF_Authority
公民抗命,MF_Authority
冇規距,MF_Authority
反動,MF_Authority
出o黎島亂,MF_Authority
出o黎搗亂,MF_Authority
出黎島亂,MF_Authority
出黎搗亂,MF_Authority
出嚟島亂,MF_Authority
出嚟搗亂,MF_Authority
有法理依據,MF_Authority
有咩好反,MF_Authority
佢講你就要聽,MF_Authority
吾服從命令,MF_Authority
吾聽話,MF_Authority
依法辦事,MF_Authority
服從上級,MF_Authority
服從命令,MF_Authority
服從性,MF_Authority
服從指令,MF_Authority
服從權威,MF_Authority
長輩,MF_Authority
政府,MF_Authority
唔服從命令,MF_Authority
祖先,MF_Authority
高高在上,MF_Authority
國民教育,MF_Authority
國教,MF_Authority
國教2.0,MF_Authority
毫不懷疑地服從上級長官的一切合法命令,MF_Authority
尊卑,MF_Authority
階級,MF_Authority
順民,MF_Authority
傳統,MF_Authority
搞亂香港,MF_Authority
極權,MF_Authority
當權者,MF_Authority
跟規矩,MF_Authority
蒙面法,MF_Authority
質疑權威,MF_Authority
歷史,MF_Authority
濫權,MF_Authority
繩之於法,MF_Authority
顛覆國家,MF_Authority
嚴正執法,MF_Authority
權力,MF_Authority
權威,MF_Authority
聽order,MF_Authority
聽指示,MF_Authority
