Term,parent
5o係現場咪冇事,MF_Harm
5出去o米冇事,MF_Harm
5出去咪冇事,MF_Harm
5係現場咪冇事,MF_Harm
5喺現場咪冇事,MF_Harm
bully,MF_Harm
一早就開左槍,MF_Harm
口角之爭就私了就好有問題,MF_Harm
大肚婆都打,MF_Harm
小朋友都蝦,MF_Harm
冇人性,MF_Harm
冇左對眼,MF_Harm
冇性ga佢o地,MF_Harm
冇性ga佢地,MF_Harm
冇性ga佢哋,MF_Harm
冇性o架佢o地,MF_Harm
冇性o架佢地,MF_Harm
冇性o架佢哋,MF_Harm
冇性架佢o地,MF_Harm
冇性架佢地,MF_Harm
冇性架佢哋,MF_Harm
冇性㗎佢o地,MF_Harm
冇性㗎佢地,MF_Harm
冇性㗎佢哋,MF_Harm
手無寸鐵,MF_Harm
以武制暴,MF_Harm
打人係吾o岩,MF_Harm
打人係吾岩,MF_Harm
打人係吾啱,MF_Harm
打人係唔o岩,MF_Harm
打人係唔岩,MF_Harm
打人係唔啱,MF_Harm
打人就女啱,MF_Harm
打人就吾o岩,MF_Harm
打人就吾岩,MF_Harm
打人就唔o岩,MF_Harm
打人就唔岩,MF_Harm
打人就唔啱,MF_Harm
打死人,MF_Harm
打得好,MF_Harm
打爛o野,MF_Harm
打爛野,MF_Harm
打爛嘢,MF_Harm
同一隻老虎講愛心,MF_Harm
同理心,MF_Harm
年青人破壞係非常合理,MF_Harm
早就應該開槍,MF_Harm
有人受傷,MF_Harm
老弱婦孺,MF_Harm
吾o係現場咪冇事,MF_Harm
吾出去o米冇事,MF_Harm
吾出去咪冇事,MF_Harm
吾係現場咪冇事,MF_Harm
吾喺現場咪冇事,MF_Harm
為達目的不惜手段,MF_Harm
為達目的不擇手段,MF_Harm
唔o係現場咪冇事,MF_Harm
唔出去o米冇事,MF_Harm
唔出去咪冇事,MF_Harm
唔係現場咪冇事,MF_Harm
唔喺現場咪冇事,MF_Harm
弱小,MF_Harm
弱勢社群,MF_Harm
弱勢團體,MF_Harm
救助,MF_Harm
救急夫危,MF_Harm
殺一儆百,MF_Harm
亂咁打人,MF_Harm
傷害手足,MF_Harm
會死人ga,MF_Harm
會死人o架,MF_Harm
會死人O架,MF_Harm
會死人架,MF_Harm
會死人㗎,MF_Harm
照顧,MF_Harm
暴力係吾o岩,MF_Harm
暴力係吾岩,MF_Harm
暴力係吾啱,MF_Harm
暴力係唔o岩,MF_Harm
暴力係唔O岩,MF_Harm
暴力係唔岩,MF_Harm
暴力係唔啱,MF_Harm
暴力就吾o岩,MF_Harm
暴力就吾岩,MF_Harm
暴力就吾啱,MF_Harm
暴力就唔岩,MF_Harm
暴力就唔啱,MF_Harm
蝦小朋友,MF_Harm
點可以打大肚婆,MF_Harm
點解可以咁兇殘,MF_Harm
雞蛋同牆,MF_Harm
雞蛋與高牆,MF_Harm
讓路比救護車,MF_Harm
