Term,parent
25仔,MF_Loyalty
5毛,MF_Loyalty
so辱華,MF_Loyalty
一家人冇隔夜仇,MF_Loyalty
人民互相爭鬥,MF_Loyalty
人民互鬥,MF_Loyalty
不割蓆,MF_Loyalty
中共,MF_Loyalty
中國,MF_Loyalty
反共,MF_Loyalty
反政府,MF_Loyalty
支持同胞,MF_Loyalty
出賣手足,MF_Loyalty
外國勢力,MF_Loyalty
打手,MF_Loyalty
共產黨,MF_Loyalty
好L鍾意香港,MF_Loyalty
好撚鍾意香港,MF_Loyalty
好鍾意香港,MF_Loyalty
自己人,MF_Loyalty
扮黃,MF_Loyalty
批黃,MF_Loyalty
保衛家園,MF_Loyalty
叛徒,MF_Loyalty
香港係大家gei,MF_Loyalty
香港係大家既,MF_Loyalty
香港係大家嘅,MF_Loyalty
香港是我家,MF_Loyalty
捍衛國家,MF_Loyalty
祖國,MF_Loyalty
辱國,MF_Loyalty
辱華,MF_Loyalty
鬥黃,MF_Loyalty
偽黃,MF_Loyalty
眾志成城,MF_Loyalty
都係老母,MF_Loyalty
都係老豆,MF_Loyalty
都係呀爸,MF_Loyalty
都係呀媽,MF_Loyalty
都係亞爸,MF_Loyalty
都係亞媽,MF_Loyalty
都係阿爸,MF_Loyalty
都係阿媽,MF_Loyalty
都係屋企人,MF_Loyalty
割蓆,MF_Loyalty
港毒,MF_Loyalty
黃圈,MF_Loyalty
亂港,MF_Loyalty
愛香港,MF_Loyalty
愛港,MF_Loyalty
愛黨,MF_Loyalty
搞冧香港,MF_Loyalty
當佢一家人,MF_Loyalty
當佢屋企人,MF_Loyalty
團結,MF_Loyalty
齊上齊落,MF_Loyalty
齊心,MF_Loyalty
撐黃,MF_Loyalty
賣港,MF_Loyalty
燒人都吾割,MF_Loyalty
燒人都唔割,MF_Loyalty
藍友,MF_Loyalty
藍圈,MF_Loyalty
