Term,parent
disgust,MF_Sanctity
o區心,MF_Sanctity
不想努力,MF_Sanctity
丑化,MF_Sanctity
丑聞,MF_Sanctity
冇品,MF_Sanctity
天真無邪,MF_Sanctity
屯門大媽,MF_Sanctity
屯門跳舞,MF_Sanctity
叫你耶穌落o黎見我o地,MF_Sanctity
叫你耶穌落o黎見我地,MF_Sanctity
叫你耶穌落o黎見我哋,MF_Sanctity
叫你耶穌落黎見我o地,MF_Sanctity
叫你耶穌落黎見我地,MF_Sanctity
叫你耶穌落黎見我哋,MF_Sanctity
叫你耶穌落嚟見我o地,MF_Sanctity
叫你耶穌落嚟見我地,MF_Sanctity
叫你耶穌落嚟見我哋,MF_Sanctity
奶共,MF_Sanctity
有傷風化,MF_Sanctity
貞操,MF_Sanctity
食人血饅頭,MF_Sanctity
埋沒良知,MF_Sanctity
問o下你個上帝,MF_Sanctity
問下你個上帝,MF_Sanctity
問吓你個上帝,MF_Sanctity
無辜市民,MF_Sanctity
聖母,MF_Sanctity
跳舞群組,MF_Sanctity
賣淫,MF_Sanctity
醜化,MF_Sanctity
壞左gei人,MF_Sanctity
壞左既人,MF_Sanctity
壞左嘅人,MF_Sanctity
