Term,Category of terms,Remarks,,,,,,,,,,,,,,,,,,,,,,
親戚,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
夫家,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
娘家,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
兩公婆,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
兩老,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
奶奶,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
老爺,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
姐夫,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
姊夫,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
亞媽,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
亞爸,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
呀媽,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
阿媽,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
媽媽,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
老豆,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
呀爸,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
阿爸,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
爸爸,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
老婆,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
表哥,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
表妹,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
妹妹,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
亞妹,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
呀妹,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
阿妹,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
哥哥,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
亞哥,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
呀哥,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
阿哥,Family_member_N,,,,,,,,,,,,,,,,,,,,,,,
我個仔,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
我個女,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
我個囡,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
囡,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
仔仔,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
呀仔,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
呀女,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
呀囡,Family_member_C,,,,,,,,,,,,,,,,,,,,,,,
