Term,parent
他,self_referential_he
她,self_referential_he
佢,self_referential_he
我,self_referential_me
禾,self_referential_me2
他們,self_referential_they
她們,self_referential_they
佢地,self_referential_they
佢哋,self_referential_they
許地,self_referential_they2
許哋,self_referential_they2
我地,self_referential_we
我哋,self_referential_we
我們,self_referential_we
禾地,self_referential_we2
禾哋,self_referential_we2
你,self_referential_you
你地,self_referential_you2
你哋,self_referential_you2
你們,self_referential_you2
尼地,self_referential_you3
尼哋,self_referential_you3
泥地,self_referential_you3
泥哋,self_referential_you3
